  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63(2)A-015                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0864   0.00791   0.00250  -0.0125   0.7104   0.5830
  -1.750  -0.0622   0.00784   0.00248  -0.0116   0.7031   0.6119
  -1.500  -0.0372   0.00780   0.00245  -0.0109   0.6956   0.6334
  -1.250  -0.0117   0.00780   0.00245  -0.0103   0.6886   0.6518
  -1.000   0.0138   0.00779   0.00243  -0.0096   0.6802   0.6677
  -0.750   0.0389   0.00779   0.00242  -0.0089   0.6698   0.6833
  -0.500   0.0638   0.00779   0.00239  -0.0081   0.6582   0.6975
  -0.250   0.0888   0.00780   0.00239  -0.0074   0.6472   0.7118
   0.000   0.1144   0.00781   0.00241  -0.0067   0.6383   0.7252
   0.250   0.1404   0.00785   0.00239  -0.0063   0.6302   0.7350
   0.500   0.1673   0.00783   0.00239  -0.0060   0.6218   0.7422
   0.750   0.1936   0.00787   0.00238  -0.0056   0.6140   0.7505
   1.000   0.2203   0.00785   0.00239  -0.0054   0.6052   0.7577
   1.250   0.2465   0.00790   0.00239  -0.0050   0.5973   0.7660
   1.500   0.2731   0.00788   0.00241  -0.0047   0.5882   0.7737
   1.750   0.2992   0.00792   0.00243  -0.0043   0.5802   0.7821
   2.000   0.3256   0.00792   0.00246  -0.0040   0.5710   0.7899
   2.250   0.3515   0.00795   0.00248  -0.0035   0.5616   0.7989
   2.500   0.3772   0.00799   0.00252  -0.0030   0.5519   0.8074
   3.000   0.4288   0.00805   0.00262  -0.0022   0.5320   0.8259
   3.250   0.4540   0.00811   0.00268  -0.0016   0.5212   0.8361
   3.500   0.4792   0.00816   0.00275  -0.0010   0.5090   0.8472
   3.750   0.5046   0.00821   0.00284  -0.0005   0.4964   0.8583
   4.000   0.5297   0.00829   0.00293   0.0000   0.4831   0.8705
   4.250   0.5547   0.00837   0.00304   0.0006   0.4681   0.8839
   4.500   0.5799   0.00849   0.00316   0.0012   0.4503   0.8984
   4.750   0.6056   0.00867   0.00330   0.0015   0.4278   0.9134
   5.000   0.6337   0.00894   0.00349   0.0013   0.3982   0.9274
   5.250   0.6643   0.00934   0.00375   0.0004   0.3583   0.9394
   5.500   0.6959   0.00983   0.00407  -0.0009   0.3218   0.9497
   5.750   0.7273   0.01028   0.00440  -0.0021   0.2960   0.9600
   6.000   0.7643   0.01072   0.00475  -0.0045   0.2757   0.9650
