  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64-206                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0711   0.00809   0.00184  -0.0376   0.9862   0.0428
  -1.750  -0.0390   0.00590   0.00146  -0.0401   0.9824   0.5574
  -1.500  -0.0037   0.00541   0.00143  -0.0418   0.9790   0.7057
  -1.250   0.0282   0.00519   0.00143  -0.0425   0.9720   0.7769
  -1.000   0.0578   0.00503   0.00146  -0.0425   0.9646   0.8436
  -0.750   0.0857   0.00493   0.00147  -0.0420   0.9562   0.8860
  -0.500   0.1113   0.00487   0.00144  -0.0411   0.9458   0.9148
  -0.250   0.1365   0.00482   0.00138  -0.0402   0.9341   0.9344
   0.000   0.1623   0.00476   0.00132  -0.0394   0.9221   0.9526
   0.250   0.1934   0.00472   0.00126  -0.0399   0.9107   0.9707
   0.750   0.2613   0.00471   0.00120  -0.0426   0.8863   1.0000
   1.000   0.2872   0.00476   0.00120  -0.0422   0.8698   1.0000
   1.250   0.3123   0.00483   0.00119  -0.0414   0.8444   1.0000
   1.750   0.3599   0.00517   0.00114  -0.0392   0.7373   1.0000
   2.000   0.3843   0.00547   0.00117  -0.0383   0.6685   1.0000
   2.250   0.4094   0.00579   0.00126  -0.0378   0.5998   1.0000
   2.500   0.4316   0.00661   0.00144  -0.0370   0.4355   1.0000
   2.750   0.4487   0.00889   0.00214  -0.0363   0.0525   1.0000
   3.000   0.4748   0.00958   0.00282  -0.0359   0.0303   1.0000
   3.250   0.5012   0.01009   0.00342  -0.0356   0.0280   1.0000
   3.500   0.5274   0.01060   0.00398  -0.0354   0.0253   1.0000
   3.750   0.5525   0.01142   0.00487  -0.0349   0.0230   1.0000
   4.000   0.5759   0.01283   0.00639  -0.0341   0.0202   1.0000
   4.250   0.6023   0.01345   0.00714  -0.0337   0.0175   1.0000
   4.500   0.6277   0.01480   0.00860  -0.0329   0.0153   1.0000
   4.750   0.6533   0.01611   0.01003  -0.0324   0.0133   1.0000
