  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64(2)-415                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1103   0.00818   0.00265  -0.0760   0.7007   0.6071
  -1.750   0.1392   0.00826   0.00266  -0.0762   0.6951   0.6162
  -1.500   0.1680   0.00822   0.00263  -0.0764   0.6890   0.6208
  -1.250   0.1968   0.00825   0.00261  -0.0766   0.6836   0.6261
  -1.000   0.2259   0.00828   0.00260  -0.0769   0.6781   0.6319
  -0.750   0.2546   0.00826   0.00259  -0.0771   0.6724   0.6363
  -0.500   0.2834   0.00830   0.00258  -0.0773   0.6675   0.6407
  -0.250   0.3125   0.00832   0.00260  -0.0776   0.6622   0.6460
   0.000   0.3414   0.00833   0.00260  -0.0779   0.6567   0.6508
   0.250   0.3701   0.00837   0.00262  -0.0781   0.6519   0.6554
   0.500   0.3990   0.00840   0.00266  -0.0783   0.6471   0.6607
   0.750   0.4280   0.00843   0.00269  -0.0786   0.6422   0.6661
   1.000   0.4566   0.00846   0.00274  -0.0788   0.6378   0.6711
   1.250   0.4855   0.00854   0.00281  -0.0791   0.6337   0.6772
   1.500   0.5144   0.00857   0.00287  -0.0793   0.6290   0.6833
   1.750   0.5429   0.00860   0.00295  -0.0795   0.6244   0.6889
   2.250   0.6001   0.00872   0.00310  -0.0799   0.6147   0.7014
   2.500   0.6285   0.00876   0.00318  -0.0800   0.6096   0.7077
   2.750   0.6574   0.00886   0.00326  -0.0803   0.6055   0.7147
   3.000   0.6855   0.00891   0.00340  -0.0804   0.6010   0.7209
   3.250   0.7137   0.00895   0.00347  -0.0805   0.5945   0.7283
   3.500   0.7412   0.00900   0.00354  -0.0805   0.5869   0.7349
   3.750   0.7685   0.00901   0.00360  -0.0803   0.5772   0.7427
   4.000   0.7955   0.00904   0.00367  -0.0802   0.5669   0.7499
   4.250   0.8224   0.00912   0.00375  -0.0800   0.5571   0.7575
   4.500   0.8489   0.00917   0.00383  -0.0798   0.5445   0.7650
   4.750   0.8757   0.00922   0.00395  -0.0796   0.5332   0.7727
   5.000   0.9026   0.00931   0.00408  -0.0794   0.5235   0.7805
   5.250   0.9286   0.00942   0.00422  -0.0791   0.5119   0.7884
   5.500   0.9545   0.00953   0.00437  -0.0788   0.4973   0.7966
   5.750   0.9797   0.00967   0.00454  -0.0784   0.4788   0.8051
   6.000   1.0031   0.00989   0.00474  -0.0776   0.4514   0.8137
