  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A210                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0350   0.00646   0.00195  -0.0449   0.8873   0.6540
  -1.750  -0.0088   0.00640   0.00192  -0.0444   0.8785   0.6786
  -1.500   0.0174   0.00635   0.00191  -0.0439   0.8707   0.7051
  -1.250   0.0431   0.00632   0.00192  -0.0432   0.8620   0.7356
  -1.000   0.0693   0.00629   0.00191  -0.0427   0.8531   0.7542
  -0.750   0.0963   0.00626   0.00187  -0.0424   0.8452   0.7679
  -0.500   0.1233   0.00623   0.00183  -0.0422   0.8357   0.7798
  -0.250   0.1505   0.00620   0.00180  -0.0419   0.8264   0.7911
   0.000   0.1776   0.00618   0.00176  -0.0417   0.8178   0.8028
   0.250   0.2045   0.00613   0.00174  -0.0414   0.8080   0.8145
   0.500   0.2313   0.00609   0.00173  -0.0412   0.7983   0.8273
   0.750   0.2581   0.00607   0.00173  -0.0408   0.7891   0.8414
   1.000   0.2847   0.00605   0.00174  -0.0404   0.7796   0.8573
   1.250   0.3110   0.00602   0.00178  -0.0400   0.7695   0.8756
   1.500   0.3373   0.00602   0.00183  -0.0395   0.7593   0.8981
   1.750   0.3648   0.00603   0.00188  -0.0392   0.7469   0.9233
   2.000   0.3967   0.00606   0.00192  -0.0399   0.7317   0.9475
   2.250   0.4317   0.00614   0.00193  -0.0414   0.7096   0.9678
   2.500   0.4683   0.00622   0.00195  -0.0433   0.6797   0.9832
   2.750   0.5063   0.00634   0.00199  -0.0456   0.6523   0.9949
   3.000   0.5401   0.00646   0.00206  -0.0471   0.6305   1.0000
   3.250   0.5636   0.00663   0.00214  -0.0463   0.5989   1.0000
   3.500   0.5857   0.00690   0.00224  -0.0452   0.5504   1.0000
   3.750   0.6062   0.00734   0.00239  -0.0439   0.4787   1.0000
   4.000   0.6207   0.00840   0.00276  -0.0418   0.3228   1.0000
   4.250   0.6352   0.00970   0.00333  -0.0399   0.1672   1.0000
   4.500   0.6533   0.01068   0.00384  -0.0386   0.0744   1.0000
   4.750   0.6748   0.01136   0.00434  -0.0376   0.0436   1.0000
   5.000   0.6970   0.01199   0.00495  -0.0366   0.0333   1.0000
   5.250   0.7209   0.01242   0.00542  -0.0359   0.0299   1.0000
   5.500   0.7438   0.01296   0.00599  -0.0351   0.0272   1.0000
   5.750   0.7627   0.01401   0.00711  -0.0336   0.0249   1.0000
   6.000   0.7839   0.01481   0.00797  -0.0326   0.0241   1.0000
