  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(2)-415 a=0.5                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0719   0.00833   0.00291  -0.0566   0.6887   0.6442
  -1.750   0.0997   0.00835   0.00295  -0.0566   0.6866   0.6668
  -1.500   0.1274   0.00835   0.00299  -0.0566   0.6844   0.6914
  -1.250   0.1543   0.00837   0.00310  -0.0563   0.6820   0.7223
  -1.000   0.1812   0.00840   0.00320  -0.0560   0.6795   0.7452
  -0.750   0.2092   0.00843   0.00324  -0.0560   0.6773   0.7590
  -0.500   0.2377   0.00847   0.00325  -0.0562   0.6753   0.7689
  -0.250   0.2663   0.00849   0.00326  -0.0564   0.6734   0.7757
   0.000   0.2950   0.00857   0.00331  -0.0567   0.6714   0.7836
   0.250   0.3233   0.00858   0.00336  -0.0569   0.6691   0.7905
   0.500   0.3516   0.00861   0.00342  -0.0572   0.6669   0.7984
   0.750   0.3800   0.00864   0.00347  -0.0574   0.6647   0.8059
   1.000   0.4084   0.00868   0.00351  -0.0576   0.6626   0.8137
   1.250   0.4368   0.00871   0.00355  -0.0578   0.6605   0.8212
   1.500   0.4652   0.00877   0.00362  -0.0580   0.6587   0.8292
   1.750   0.4935   0.00888   0.00372  -0.0582   0.6568   0.8370
   2.000   0.5211   0.00892   0.00384  -0.0583   0.6546   0.8452
   2.250   0.5487   0.00897   0.00395  -0.0584   0.6523   0.8530
   2.500   0.5763   0.00903   0.00405  -0.0585   0.6500   0.8617
   2.750   0.6038   0.00907   0.00414  -0.0585   0.6477   0.8696
   3.000   0.6317   0.00913   0.00422  -0.0586   0.6457   0.8785
   3.250   0.6592   0.00920   0.00432  -0.0586   0.6436   0.8862
   3.500   0.6862   0.00929   0.00445  -0.0586   0.6409   0.8956
   3.750   0.7116   0.00931   0.00457  -0.0582   0.6373   0.9042
   4.000   0.7380   0.00930   0.00461  -0.0579   0.6335   0.9134
   4.250   0.7647   0.00927   0.00459  -0.0576   0.6294   0.9229
   4.500   0.7896   0.00927   0.00465  -0.0570   0.6245   0.9324
   4.750   0.8149   0.00922   0.00467  -0.0565   0.6192   0.9429
   5.000   0.8413   0.00909   0.00453  -0.0561   0.6111   0.9536
   5.250   0.8687   0.00886   0.00431  -0.0559   0.5963   0.9640
   5.500   0.9017   0.00878   0.00424  -0.0572   0.5832   0.9719
   5.750   0.9367   0.00878   0.00431  -0.0590   0.5705   0.9791
   6.000   0.9723   0.00883   0.00439  -0.0609   0.5551   0.9860
