  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 66-018                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2202   0.01246   0.00776   0.0022   0.7752   0.7514
  -1.750  -0.1912   0.01257   0.00787   0.0018   0.7741   0.7530
  -1.500  -0.1627   0.01267   0.00797   0.0013   0.7730   0.7549
  -1.250  -0.1348   0.01276   0.00805   0.0010   0.7719   0.7571
  -1.000  -0.1076   0.01280   0.00808   0.0008   0.7708   0.7594
  -0.750  -0.0813   0.01276   0.00801   0.0007   0.7695   0.7616
  -0.500  -0.0557   0.01272   0.00793   0.0006   0.7685   0.7636
  -0.250  -0.0290   0.01267   0.00786   0.0004   0.7675   0.7652
   0.000  -0.0002   0.01264   0.00783   0.0000   0.7663   0.7665
   0.250   0.0285   0.01264   0.00784  -0.0004   0.7651   0.7676
   0.500   0.0561   0.01270   0.00790  -0.0007   0.7637   0.7685
   0.750   0.0816   0.01274   0.00798  -0.0007   0.7618   0.7696
   1.000   0.1077   0.01279   0.00806  -0.0008   0.7595   0.7708
   1.250   0.1348   0.01275   0.00804  -0.0010   0.7571   0.7719
   1.500   0.1626   0.01267   0.00797  -0.0013   0.7548   0.7729
   1.750   0.1910   0.01258   0.00788  -0.0017   0.7529   0.7740
   2.000   0.2199   0.01247   0.00778  -0.0022   0.7513   0.7751
   2.250   0.2495   0.01235   0.00764  -0.0027   0.7495   0.7763
   2.500   0.2765   0.01229   0.00760  -0.0028   0.7462   0.7776
   2.750   0.3025   0.01214   0.00748  -0.0027   0.7413   0.7790
   3.000   0.3335   0.01177   0.00709  -0.0033   0.7366   0.7800
   3.250   0.3663   0.01139   0.00665  -0.0042   0.7314   0.7808
   3.500   0.3918   0.01107   0.00640  -0.0038   0.7236   0.7819
   3.750   0.4227   0.01056   0.00586  -0.0041   0.7136   0.7828
   4.000   0.4518   0.01014   0.00540  -0.0041   0.7013   0.7837
   4.250   0.4760   0.00996   0.00530  -0.0035   0.6900   0.7848
   4.500   0.5015   0.00982   0.00521  -0.0031   0.6788   0.7859
   4.750   0.5260   0.00969   0.00512  -0.0025   0.6629   0.7872
   5.000   0.5484   0.00959   0.00503  -0.0015   0.6369   0.7885
   5.250   0.5538   0.00983   0.00489   0.0029   0.5479   0.7904
   5.500   0.5426   0.01061   0.00525   0.0099   0.4672   0.7930
   5.750   0.5265   0.01124   0.00560   0.0179   0.4101   0.7957
   6.000   0.5136   0.01216   0.00624   0.0246   0.3484   0.7980
