  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 747A415                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0113   0.00788   0.00282  -0.0256   0.6132   0.7633
  -1.750   0.0156   0.00804   0.00296  -0.0251   0.6097   0.7915
  -1.500   0.0429   0.00818   0.00309  -0.0248   0.6061   0.8083
  -1.250   0.0703   0.00832   0.00319  -0.0245   0.6027   0.8209
  -1.000   0.0976   0.00849   0.00332  -0.0241   0.5995   0.8315
  -0.750   0.1237   0.00876   0.00356  -0.0233   0.5966   0.8430
  -0.500   0.1483   0.00911   0.00392  -0.0219   0.5939   0.8571
  -0.250   0.1719   0.00944   0.00428  -0.0203   0.5911   0.8703
   0.000   0.1970   0.00968   0.00452  -0.0192   0.5883   0.8791
   0.250   0.2239   0.00974   0.00455  -0.0190   0.5857   0.8837
   0.500   0.2509   0.00981   0.00458  -0.0187   0.5832   0.8865
   0.750   0.2784   0.00991   0.00462  -0.0186   0.5807   0.8895
   1.000   0.3060   0.00996   0.00466  -0.0187   0.5785   0.8925
   1.250   0.3344   0.00996   0.00466  -0.0190   0.5763   0.8950
   1.500   0.3632   0.00998   0.00466  -0.0195   0.5741   0.8971
   1.750   0.3913   0.00997   0.00464  -0.0198   0.5719   0.8986
   2.000   0.4192   0.00999   0.00465  -0.0199   0.5699   0.9000
   2.250   0.4473   0.01002   0.00467  -0.0201   0.5679   0.9015
   2.500   0.4756   0.01010   0.00472  -0.0204   0.5659   0.9031
   2.750   0.5039   0.01019   0.00480  -0.0207   0.5641   0.9048
   3.000   0.5321   0.01020   0.00486  -0.0210   0.5620   0.9064
   3.250   0.5602   0.01022   0.00490  -0.0213   0.5592   0.9084
   3.500   0.5887   0.01024   0.00494  -0.0217   0.5563   0.9103
   3.750   0.6177   0.01029   0.00498  -0.0223   0.5539   0.9119
   4.000   0.6462   0.01034   0.00503  -0.0226   0.5517   0.9132
   4.250   0.6743   0.01045   0.00514  -0.0229   0.5494   0.9145
   4.500   0.7012   0.01047   0.00523  -0.0229   0.5470   0.9162
   4.750   0.7280   0.01046   0.00529  -0.0229   0.5429   0.9181
   5.000   0.7555   0.01044   0.00527  -0.0230   0.5383   0.9199
   5.250   0.7834   0.01050   0.00532  -0.0232   0.5336   0.9218
   5.500   0.8096   0.01041   0.00531  -0.0232   0.5266   0.9239
   5.750   0.8370   0.01041   0.00526  -0.0233   0.5188   0.9259
   6.000   0.8625   0.01032   0.00527  -0.0231   0.5109   0.9278
