  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA CYH                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1021   0.00877   0.00229  -0.0324   0.6810   0.3175
  -1.750   0.1278   0.00841   0.00222  -0.0321   0.6738   0.3979
  -1.500   0.1486   0.00766   0.00210  -0.0308   0.6671   0.5855
  -1.250   0.1632   0.00683   0.00227  -0.0273   0.6600   0.8738
  -1.000   0.1907   0.00689   0.00235  -0.0266   0.6524   0.9199
  -0.750   0.2224   0.00701   0.00247  -0.0269   0.6443   0.9453
  -0.500   0.2556   0.00715   0.00253  -0.0276   0.6365   0.9588
  -0.250   0.2993   0.00733   0.00267  -0.0306   0.6270   0.9706
   0.000   0.3539   0.00753   0.00279  -0.0360   0.6168   0.9803
   0.250   0.4001   0.00765   0.00282  -0.0398   0.6058   0.9872
   0.500   0.4473   0.00774   0.00284  -0.0440   0.5933   0.9938
   0.750   0.4931   0.00775   0.00280  -0.0479   0.5802   0.9979
   1.000   0.5291   0.00778   0.00277  -0.0498   0.5667   1.0000
   1.250   0.5551   0.00782   0.00275  -0.0496   0.5531   1.0000
   1.500   0.5810   0.00788   0.00275  -0.0494   0.5377   1.0000
   1.750   0.6067   0.00797   0.00276  -0.0492   0.5206   1.0000
   2.000   0.6323   0.00807   0.00278  -0.0489   0.5019   1.0000
   2.250   0.6576   0.00820   0.00283  -0.0487   0.4801   1.0000
   2.500   0.6825   0.00837   0.00289  -0.0483   0.4548   1.0000
   2.750   0.7068   0.00859   0.00297  -0.0479   0.4282   1.0000
   3.000   0.7307   0.00881   0.00308  -0.0475   0.4056   1.0000
   3.750   0.8013   0.00945   0.00351  -0.0458   0.3622   1.0000
   4.000   0.8247   0.00964   0.00367  -0.0452   0.3525   1.0000
   4.250   0.8475   0.00986   0.00385  -0.0445   0.3446   1.0000
   4.500   0.8709   0.01002   0.00401  -0.0439   0.3372   1.0000
   4.750   0.8932   0.01026   0.00421  -0.0431   0.3298   1.0000
   5.000   0.9165   0.01040   0.00439  -0.0424   0.3228   1.0000
   5.250   0.9387   0.01065   0.00461  -0.0416   0.3162   1.0000
   5.500   0.9619   0.01080   0.00480  -0.0410   0.3096   1.0000
   5.750   0.9837   0.01106   0.00502  -0.0402   0.3010   1.0000
   6.000   1.0068   0.01121   0.00521  -0.0395   0.2912   1.0000
