  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA M12                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0267   0.01163   0.00460  -0.0306   0.7910   0.1371
  -1.750   0.0007   0.01157   0.00446  -0.0304   0.7798   0.1412
  -1.500   0.0280   0.01157   0.00439  -0.0303   0.7688   0.1466
  -1.250   0.0549   0.01121   0.00405  -0.0301   0.7571   0.1510
  -1.000   0.0825   0.01118   0.00396  -0.0300   0.7455   0.1548
  -0.750   0.1093   0.01087   0.00365  -0.0298   0.7343   0.1575
  -0.500   0.1360   0.01065   0.00343  -0.0296   0.7228   0.1602
  -0.250   0.1636   0.01057   0.00334  -0.0295   0.7107   0.1630
   0.000   0.1901   0.01032   0.00310  -0.0293   0.6990   0.1658
   0.250   0.2168   0.01014   0.00292  -0.0291   0.6873   0.1680
   0.500   0.2440   0.01008   0.00283  -0.0289   0.6750   0.1685
   0.750   0.2714   0.01002   0.00276  -0.0288   0.6623   0.1691
   1.000   0.2987   0.00997   0.00270  -0.0287   0.6496   0.1699
   1.250   0.3261   0.00995   0.00266  -0.0286   0.6370   0.1702
   1.500   0.3534   0.00995   0.00263  -0.0285   0.6239   0.1703
   2.000   0.4080   0.00997   0.00261  -0.0282   0.5968   0.1700
   2.250   0.4352   0.01000   0.00262  -0.0281   0.5815   0.1698
   2.500   0.4624   0.01004   0.00263  -0.0280   0.5662   0.1696
   2.750   0.4896   0.01008   0.00266  -0.0279   0.5525   0.1695
   3.000   0.5169   0.01013   0.00271  -0.0278   0.5396   0.1694
   3.250   0.5440   0.01020   0.00277  -0.0277   0.5272   0.1694
   3.500   0.5710   0.01028   0.00283  -0.0276   0.5145   0.1695
   3.750   0.5982   0.01036   0.00291  -0.0275   0.5017   0.1696
   4.000   0.6254   0.01043   0.00299  -0.0274   0.4889   0.1698
   4.250   0.6523   0.01053   0.00308  -0.0272   0.4747   0.1700
   4.500   0.6786   0.01066   0.00317  -0.0270   0.4553   0.1702
   4.750   0.7047   0.01081   0.00327  -0.0268   0.4343   0.1706
   5.000   0.7310   0.01096   0.00339  -0.0266   0.4142   0.1710
   5.250   0.7571   0.01113   0.00352  -0.0263   0.3951   0.1714
   5.500   0.7829   0.01132   0.00368  -0.0260   0.3756   0.1719
   5.750   0.8087   0.01152   0.00385  -0.0258   0.3556   0.1724
