  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA M2                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2706   0.00681   0.00197   0.0084   1.0000   0.5330
  -1.750  -0.2454   0.00649   0.00197   0.0088   1.0000   0.6173
  -1.500  -0.2153   0.00615   0.00199   0.0082   0.9984   0.7073
  -1.250  -0.1782   0.00590   0.00199   0.0062   0.9950   0.7719
  -1.000  -0.1405   0.00570   0.00198   0.0043   0.9894   0.8232
  -0.750  -0.1041   0.00554   0.00202   0.0030   0.9841   0.8829
  -0.500  -0.0705   0.00552   0.00211   0.0024   0.9784   0.9279
  -0.250  -0.0369   0.00554   0.00216   0.0017   0.9710   0.9526
   0.000  -0.0000   0.00554   0.00217   0.0000   0.9630   0.9630
   0.250   0.0368   0.00554   0.00216  -0.0017   0.9526   0.9710
   0.500   0.0704   0.00551   0.00211  -0.0023   0.9277   0.9784
   0.750   0.1040   0.00554   0.00202  -0.0029   0.8819   0.9841
   1.000   0.1405   0.00570   0.00198  -0.0043   0.8233   0.9894
   1.250   0.1781   0.00590   0.00199  -0.0062   0.7714   0.9950
   1.500   0.2152   0.00615   0.00199  -0.0082   0.7070   0.9984
   1.750   0.2453   0.00649   0.00197  -0.0088   0.6173   1.0000
   2.000   0.2705   0.00681   0.00197  -0.0084   0.5325   1.0000
   2.250   0.2948   0.00728   0.00201  -0.0080   0.4234   1.0000
   2.500   0.3185   0.00786   0.00212  -0.0076   0.3060   1.0000
   2.750   0.3416   0.00861   0.00230  -0.0072   0.1709   1.0000
   3.000   0.3642   0.00940   0.00260  -0.0066   0.0654   1.0000
   3.250   0.3881   0.00973   0.00287  -0.0058   0.0538   1.0000
   3.500   0.4122   0.00996   0.00312  -0.0051   0.0513   1.0000
   3.750   0.4364   0.01022   0.00340  -0.0043   0.0490   1.0000
   4.000   0.4606   0.01053   0.00374  -0.0036   0.0475   1.0000
   4.250   0.4847   0.01089   0.00412  -0.0029   0.0463   1.0000
   4.500   0.5086   0.01132   0.00458  -0.0021   0.0450   1.0000
   4.750   0.5316   0.01199   0.00529  -0.0013   0.0430   1.0000
   5.000   0.5549   0.01268   0.00604  -0.0004   0.0418   1.0000
   5.250   0.5799   0.01302   0.00643   0.0001   0.0405   1.0000
   5.500   0.6047   0.01348   0.00694   0.0007   0.0387   1.0000
   5.750   0.6296   0.01397   0.00748   0.0012   0.0364   1.0000
   6.000   0.6539   0.01460   0.00811   0.0017   0.0339   1.0000
