  
       XFOIL         Version 6.99
  
 Calculated polar for: NLR-7223-43 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0038   0.00736   0.00254  -0.0527   0.9500   0.4423
  -1.750   0.0322   0.00677   0.00259  -0.0523   0.9384   0.6797
  -1.500   0.0628   0.00682   0.00262  -0.0521   0.9265   0.7074
  -1.250   0.0907   0.00698   0.00283  -0.0513   0.9182   0.7329
  -1.000   0.1168   0.00710   0.00302  -0.0502   0.9114   0.7551
  -0.750   0.1432   0.00716   0.00310  -0.0493   0.9044   0.7701
  -0.500   0.1713   0.00716   0.00304  -0.0491   0.8964   0.7751
  -0.250   0.1987   0.00711   0.00296  -0.0488   0.8875   0.7784
   0.000   0.2269   0.00705   0.00286  -0.0487   0.8785   0.7806
   0.250   0.2539   0.00700   0.00278  -0.0483   0.8670   0.7818
   0.500   0.2812   0.00696   0.00270  -0.0481   0.8539   0.7821
   0.750   0.3085   0.00693   0.00262  -0.0478   0.8386   0.7827
   1.000   0.3354   0.00691   0.00254  -0.0474   0.8188   0.7833
   1.250   0.3620   0.00692   0.00246  -0.0469   0.7922   0.7836
   1.500   0.3872   0.00700   0.00239  -0.0461   0.7467   0.7839
   1.750   0.4049   0.00750   0.00234  -0.0437   0.6182   0.7844
   2.000   0.4231   0.00816   0.00248  -0.0418   0.5016   0.7852
   2.250   0.4434   0.00877   0.00263  -0.0406   0.3970   0.7858
   2.500   0.4657   0.00931   0.00278  -0.0397   0.3130   0.7863
   2.750   0.4895   0.00974   0.00295  -0.0391   0.2552   0.7867
   3.000   0.5146   0.01006   0.00310  -0.0387   0.2238   0.7872
   3.250   0.5403   0.01032   0.00326  -0.0384   0.2066   0.7877
   3.500   0.5664   0.01053   0.00342  -0.0381   0.1953   0.7882
   3.750   0.5924   0.01076   0.00362  -0.0378   0.1873   0.7888
   4.000   0.6188   0.01094   0.00379  -0.0376   0.1809   0.7894
   4.250   0.6444   0.01122   0.00402  -0.0373   0.1748   0.7900
   4.750   0.6970   0.01155   0.00441  -0.0368   0.1649   0.7917
   5.000   0.7225   0.01181   0.00467  -0.0364   0.1600   0.7924
   5.250   0.7493   0.01190   0.00482  -0.0363   0.1534   0.7932
   5.500   0.7749   0.01212   0.00503  -0.0360   0.1454   0.7941
   5.750   0.8015   0.01223   0.00519  -0.0358   0.1388   0.7950
   6.000   0.8271   0.01245   0.00542  -0.0355   0.1319   0.7961
