  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY NLF(1)-0416 AIRFOIL                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2059   0.00964   0.00392  -0.0948   0.5689   0.6582
  -1.750   0.2336   0.00983   0.00410  -0.0944   0.5618   0.6625
  -1.500   0.2618   0.01003   0.00422  -0.0943   0.5555   0.6682
  -1.250   0.2906   0.01015   0.00428  -0.0944   0.5494   0.6729
  -1.000   0.3180   0.01030   0.00442  -0.0941   0.5436   0.6759
  -0.750   0.3456   0.01050   0.00455  -0.0938   0.5382   0.6796
  -0.500   0.3745   0.01060   0.00463  -0.0939   0.5329   0.6842
  -0.250   0.4034   0.01068   0.00466  -0.0941   0.5277   0.6881
   0.000   0.4305   0.01084   0.00477  -0.0938   0.5229   0.6906
   0.250   0.4583   0.01094   0.00489  -0.0936   0.5182   0.6934
   0.500   0.4865   0.01103   0.00497  -0.0936   0.5134   0.6966
   0.750   0.5154   0.01114   0.00501  -0.0938   0.5087   0.7002
   1.000   0.5445   0.01124   0.00505  -0.0941   0.5043   0.7033
   1.250   0.5719   0.01127   0.00512  -0.0939   0.4997   0.7054
   1.500   0.5994   0.01135   0.00520  -0.0937   0.4951   0.7076
   1.750   0.6273   0.01149   0.00529  -0.0937   0.4907   0.7100
   2.000   0.6557   0.01154   0.00536  -0.0938   0.4863   0.7124
   2.250   0.6845   0.01158   0.00540  -0.0940   0.4815   0.7148
   2.500   0.7137   0.01166   0.00542  -0.0944   0.4769   0.7171
   2.750   0.7422   0.01173   0.00547  -0.0946   0.4725   0.7188
   3.000   0.7699   0.01173   0.00551  -0.0946   0.4678   0.7203
   3.250   0.7975   0.01178   0.00557  -0.0945   0.4631   0.7218
   3.500   0.8251   0.01192   0.00567  -0.0945   0.4582   0.7234
   3.750   0.8530   0.01193   0.00575  -0.0945   0.4534   0.7251
   4.000   0.8808   0.01198   0.00581  -0.0945   0.4481   0.7267
   4.250   0.9086   0.01211   0.00588  -0.0946   0.4427   0.7284
   4.500   0.9367   0.01212   0.00596  -0.0948   0.4371   0.7300
   4.750   0.9647   0.01217   0.00601  -0.0949   0.4311   0.7315
   5.000   0.9926   0.01229   0.00610  -0.0950   0.4253   0.7327
   5.250   1.0203   0.01229   0.00616  -0.0951   0.4187   0.7339
   5.500   1.0468   0.01238   0.00623  -0.0949   0.4122   0.7350
   5.750   1.0741   0.01241   0.00633  -0.0949   0.4048   0.7359
   6.000   1.1003   0.01251   0.00642  -0.0947   0.3973   0.7368
