  
       XFOIL         Version 6.99
  
 Calculated polar for: NLR-7301 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0597   0.00901   0.00454  -0.0766   0.8379   0.6070
  -1.750   0.0888   0.00892   0.00444  -0.0764   0.8303   0.6128
  -1.500   0.1174   0.00879   0.00429  -0.0758   0.8209   0.6178
  -1.250   0.1455   0.00874   0.00422  -0.0752   0.8080   0.6248
  -1.000   0.1743   0.00878   0.00421  -0.0746   0.7970   0.6345
  -0.750   0.2021   0.00897   0.00450  -0.0739   0.7890   0.6429
  -0.500   0.2315   0.00903   0.00452  -0.0737   0.7797   0.6488
  -0.250   0.2612   0.00899   0.00444  -0.0738   0.7677   0.6518
   0.000   0.2898   0.00887   0.00429  -0.0735   0.7525   0.6543
   0.250   0.3180   0.00883   0.00423  -0.0731   0.7322   0.6565
   0.500   0.3458   0.00885   0.00418  -0.0727   0.7026   0.6587
   0.750   0.3712   0.00901   0.00411  -0.0718   0.6413   0.6609
   1.000   0.3859   0.01001   0.00434  -0.0693   0.4802   0.6632
   1.250   0.4020   0.01113   0.00475  -0.0675   0.3308   0.6658
   1.500   0.4224   0.01197   0.00506  -0.0665   0.2242   0.6683
   1.750   0.4463   0.01252   0.00529  -0.0659   0.1674   0.6705
   2.000   0.4724   0.01290   0.00548  -0.0656   0.1406   0.6723
   2.250   0.4988   0.01311   0.00560  -0.0653   0.1261   0.6747
   2.500   0.5251   0.01336   0.00580  -0.0649   0.1163   0.6769
   2.750   0.5512   0.01363   0.00603  -0.0645   0.1086   0.6792
   3.000   0.5775   0.01390   0.00625  -0.0642   0.1021   0.6815
   3.250   0.6042   0.01414   0.00646  -0.0639   0.0963   0.6839
   3.500   0.6304   0.01444   0.00671  -0.0635   0.0909   0.6864
   3.750   0.6565   0.01474   0.00695  -0.0632   0.0859   0.6889
   4.000   0.6832   0.01501   0.00719  -0.0629   0.0813   0.6913
   4.250   0.7087   0.01538   0.00749  -0.0625   0.0774   0.6934
   4.500   0.7346   0.01559   0.00770  -0.0621   0.0739   0.6963
   4.750   0.7588   0.01597   0.00806  -0.0614   0.0712   0.6988
   5.000   0.7840   0.01626   0.00837  -0.0608   0.0689   0.7013
   5.250   0.8086   0.01661   0.00870  -0.0602   0.0671   0.7039
   5.500   0.8318   0.01708   0.00914  -0.0594   0.0655   0.7067
   5.750   0.8567   0.01742   0.00949  -0.0588   0.0642   0.7095
   6.000   0.8811   0.01779   0.00985  -0.0583   0.0630   0.7123
