  
       XFOIL         Version 6.99
  
 Calculated polar for: NPL 9615 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0961   0.00931   0.00260  -0.0194   0.8953   0.0617
  -1.750  -0.0690   0.00915   0.00244  -0.0191   0.8810   0.0697
  -1.500  -0.0433   0.00891   0.00227  -0.0185   0.8643   0.0955
  -1.250  -0.0342   0.00726   0.00191  -0.0154   0.8430   0.4559
  -0.750   0.0032   0.00643   0.00172  -0.0112   0.7931   0.6693
  -0.500   0.0240   0.00628   0.00171  -0.0093   0.7743   0.7389
   0.000   0.0712   0.00616   0.00183  -0.0067   0.7387   0.8349
   0.250   0.0958   0.00621   0.00186  -0.0056   0.7178   0.8648
   0.500   0.1221   0.00629   0.00190  -0.0049   0.6923   0.8889
   0.750   0.1498   0.00644   0.00198  -0.0044   0.6657   0.9124
   1.000   0.1815   0.00666   0.00213  -0.0047   0.6383   0.9362
   1.250   0.2161   0.00689   0.00226  -0.0058   0.6145   0.9481
   1.500   0.2469   0.00707   0.00235  -0.0062   0.5933   0.9573
   1.750   0.2850   0.00726   0.00244  -0.0084   0.5719   0.9602
   2.000   0.3222   0.00744   0.00253  -0.0103   0.5515   0.9636
   2.250   0.3549   0.00761   0.00262  -0.0113   0.5319   0.9690
   2.500   0.3911   0.00778   0.00271  -0.0131   0.5113   0.9724
   2.750   0.4283   0.00795   0.00279  -0.0152   0.4902   0.9756
   3.000   0.4625   0.00812   0.00289  -0.0166   0.4686   0.9802
   3.250   0.4970   0.00830   0.00298  -0.0181   0.4449   0.9840
   3.500   0.5339   0.00848   0.00307  -0.0202   0.4177   0.9869
   3.750   0.5689   0.00871   0.00318  -0.0219   0.3859   0.9905
   4.000   0.6028   0.00900   0.00331  -0.0234   0.3469   0.9939
   4.250   0.6385   0.00933   0.00343  -0.0254   0.3005   0.9964
   4.500   0.6729   0.00974   0.00361  -0.0272   0.2525   0.9990
   4.750   0.7006   0.01007   0.00381  -0.0275   0.2220   1.0000
   5.000   0.7221   0.01040   0.00400  -0.0265   0.1962   1.0000
   5.250   0.7434   0.01069   0.00420  -0.0254   0.1766   1.0000
   5.500   0.7645   0.01095   0.00440  -0.0243   0.1630   1.0000
   5.750   0.7854   0.01121   0.00462  -0.0231   0.1522   1.0000
   6.000   0.8062   0.01144   0.00484  -0.0218   0.1425   1.0000
