  
       XFOIL         Version 6.99
  
 Calculated polar for: ONERA OA206 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1642   0.00915   0.00288  -0.0054   0.9975   0.0328
  -1.750  -0.1283   0.00880   0.00250  -0.0071   0.9863   0.0366
  -1.500  -0.0972   0.00842   0.00211  -0.0077   0.9742   0.0455
  -1.250  -0.0724   0.00819   0.00191  -0.0068   0.9617   0.0662
  -1.000  -0.0503   0.00592   0.00167  -0.0069   0.9515   0.6362
  -0.750  -0.0365   0.00535   0.00191  -0.0030   0.9402   0.8674
  -0.500  -0.0215   0.00541   0.00203   0.0008   0.9287   0.9178
  -0.250  -0.0098   0.00538   0.00202   0.0054   0.9167   0.9514
   0.000   0.0095   0.00523   0.00185   0.0083   0.9051   0.9827
   0.250   0.0611   0.00524   0.00181   0.0036   0.8943   1.0000
   0.500   0.0848   0.00518   0.00169   0.0045   0.8780   1.0000
   0.750   0.1083   0.00513   0.00157   0.0056   0.8600   1.0000
   1.000   0.1328   0.00510   0.00147   0.0064   0.8382   1.0000
   1.250   0.1577   0.00511   0.00139   0.0071   0.8122   1.0000
   1.500   0.1833   0.00517   0.00132   0.0077   0.7797   1.0000
   1.750   0.2099   0.00528   0.00129   0.0081   0.7390   1.0000
   2.000   0.2373   0.00547   0.00128   0.0082   0.6862   1.0000
   2.250   0.2653   0.00575   0.00130   0.0081   0.6180   1.0000
   2.500   0.2938   0.00615   0.00137   0.0077   0.5303   1.0000
   2.750   0.3226   0.00661   0.00150   0.0072   0.4452   1.0000
   3.000   0.3516   0.00696   0.00164   0.0067   0.3919   1.0000
   3.250   0.3806   0.00727   0.00180   0.0062   0.3537   1.0000
   3.500   0.4096   0.00757   0.00196   0.0057   0.3146   1.0000
   3.750   0.4385   0.00788   0.00213   0.0052   0.2685   1.0000
   4.000   0.4673   0.00822   0.00231   0.0048   0.2257   1.0000
   4.250   0.4960   0.00860   0.00252   0.0043   0.1840   1.0000
   4.500   0.5246   0.00899   0.00277   0.0038   0.1471   1.0000
   4.750   0.5530   0.00945   0.00308   0.0033   0.1077   1.0000
   5.000   0.5810   0.01029   0.00358   0.0028   0.0443   1.0000
   5.250   0.6093   0.01105   0.00430   0.0025   0.0285   1.0000
   5.500   0.6375   0.01172   0.00505   0.0023   0.0232   1.0000
   5.750   0.6654   0.01237   0.00577   0.0020   0.0202   1.0000
   6.000   0.6918   0.01393   0.00746   0.0019   0.0179   1.0000
