  
       XFOIL         Version 6.99
  
 Calculated polar for: OAF128 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1033   0.00939   0.00318  -0.0269   0.6520   0.3749
  -1.750  -0.0732   0.00939   0.00313  -0.0271   0.6301   0.3885
  -1.500  -0.0431   0.00939   0.00308  -0.0274   0.6103   0.4010
  -1.250  -0.0129   0.00939   0.00305  -0.0276   0.5925   0.4137
  -1.000   0.0173   0.00942   0.00302  -0.0278   0.5763   0.4267
  -0.750   0.0475   0.00942   0.00301  -0.0280   0.5611   0.4407
  -0.500   0.0777   0.00942   0.00301  -0.0283   0.5470   0.4563
  -0.250   0.1079   0.00941   0.00301  -0.0285   0.5340   0.4712
   0.000   0.1382   0.00942   0.00301  -0.0287   0.5213   0.4849
   0.250   0.1683   0.00945   0.00302  -0.0290   0.5087   0.4995
   0.750   0.2288   0.00945   0.00306  -0.0295   0.4857   0.5313
   1.250   0.2892   0.00946   0.00314  -0.0299   0.4629   0.5695
   1.500   0.3193   0.00946   0.00319  -0.0302   0.4523   0.5926
   1.750   0.3494   0.00947   0.00325  -0.0304   0.4413   0.6182
   2.000   0.3794   0.00945   0.00333  -0.0306   0.4296   0.6480
   2.250   0.4092   0.00944   0.00339  -0.0308   0.4150   0.6831
   2.500   0.4387   0.00943   0.00347  -0.0308   0.3991   0.7226
   2.750   0.4677   0.00943   0.00357  -0.0308   0.3858   0.7664
   3.000   0.4957   0.00942   0.00367  -0.0305   0.3729   0.8138
   3.250   0.5223   0.00938   0.00375  -0.0298   0.3601   0.8607
   3.500   0.5458   0.00930   0.00376  -0.0283   0.3476   0.9141
   3.750   0.5717   0.00918   0.00365  -0.0275   0.3342   1.0000
   4.000   0.6022   0.00937   0.00377  -0.0279   0.3193   1.0000
   4.250   0.6326   0.00957   0.00389  -0.0283   0.3042   1.0000
   4.500   0.6628   0.00979   0.00403  -0.0287   0.2887   1.0000
   4.750   0.6929   0.01002   0.00419  -0.0290   0.2733   1.0000
   5.000   0.7229   0.01026   0.00436  -0.0294   0.2575   1.0000
   5.250   0.7528   0.01052   0.00455  -0.0297   0.2422   1.0000
   5.500   0.7825   0.01081   0.00477  -0.0300   0.2273   1.0000
   5.750   0.8121   0.01112   0.00500  -0.0304   0.2123   1.0000
   6.000   0.8416   0.01142   0.00525  -0.0307   0.1963   1.0000
