  
       XFOIL         Version 6.99
  
 Calculated polar for: P-51D ROOT (BL17.5) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0674   0.00916   0.00322  -0.0356   0.6161   0.6104
  -1.750  -0.0391   0.00926   0.00330  -0.0356   0.6112   0.6156
  -1.500  -0.0109   0.00940   0.00335  -0.0357   0.6068   0.6212
  -1.250   0.0178   0.00943   0.00335  -0.0359   0.6028   0.6253
  -1.000   0.0464   0.00945   0.00338  -0.0360   0.5989   0.6287
  -0.750   0.0750   0.00952   0.00343  -0.0361   0.5952   0.6327
  -0.500   0.1033   0.00968   0.00351  -0.0361   0.5913   0.6384
  -0.250   0.1317   0.00971   0.00355  -0.0362   0.5877   0.6434
   0.000   0.1602   0.00973   0.00360  -0.0363   0.5836   0.6471
   0.250   0.1888   0.00978   0.00363  -0.0365   0.5800   0.6505
   0.500   0.2175   0.00985   0.00364  -0.0367   0.5767   0.6534
   0.750   0.2462   0.00992   0.00367  -0.0369   0.5729   0.6559
   1.000   0.2747   0.00988   0.00364  -0.0371   0.5687   0.6580
   1.250   0.3032   0.00986   0.00364  -0.0372   0.5649   0.6599
   1.500   0.3318   0.00989   0.00366  -0.0374   0.5616   0.6618
   1.750   0.3605   0.00997   0.00371  -0.0376   0.5585   0.6639
   2.000   0.3890   0.00999   0.00376  -0.0378   0.5551   0.6663
   2.250   0.4175   0.01000   0.00379  -0.0379   0.5513   0.6687
   2.500   0.4460   0.01003   0.00382  -0.0381   0.5476   0.6709
   2.750   0.4745   0.01010   0.00385  -0.0383   0.5442   0.6728
   3.000   0.5030   0.01014   0.00390  -0.0385   0.5408   0.6750
   3.250   0.5310   0.01012   0.00396  -0.0385   0.5371   0.6772
   3.500   0.5590   0.01012   0.00401  -0.0386   0.5330   0.6796
   3.750   0.5870   0.01016   0.00406  -0.0387   0.5288   0.6822
   4.000   0.6150   0.01023   0.00412  -0.0387   0.5240   0.6848
   4.250   0.6428   0.01024   0.00419  -0.0388   0.5196   0.6872
   4.500   0.6705   0.01025   0.00424  -0.0388   0.5148   0.6896
   4.750   0.6977   0.01029   0.00428  -0.0387   0.5090   0.6921
   5.000   0.7242   0.01023   0.00433  -0.0385   0.5008   0.6947
   5.250   0.7503   0.01026   0.00435  -0.0382   0.4917   0.6978
   5.500   0.7761   0.01025   0.00438  -0.0378   0.4793   0.7011
   5.750   0.8013   0.01028   0.00443  -0.0373   0.4638   0.7042
   6.000   0.8258   0.01033   0.00449  -0.0368   0.4443   0.7073
