  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 66,2-(1.8)15.5 A=.6 P-51 ROOT AIRFOIL      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0885   0.00993   0.00525  -0.0280   0.7837   0.7640
  -1.750  -0.0608   0.01022   0.00562  -0.0279   0.7825   0.7743
  -1.500  -0.0338   0.01044   0.00585  -0.0277   0.7808   0.7832
  -1.250  -0.0061   0.01060   0.00603  -0.0274   0.7776   0.7907
  -1.000   0.0222   0.01043   0.00577  -0.0273   0.7729   0.7963
  -0.750   0.0516   0.01035   0.00566  -0.0275   0.7705   0.7988
  -0.500   0.0804   0.01042   0.00571  -0.0278   0.7690   0.8013
  -0.250   0.1080   0.01046   0.00577  -0.0280   0.7673   0.8037
   0.000   0.1354   0.01047   0.00578  -0.0282   0.7647   0.8064
   0.250   0.1636   0.01033   0.00562  -0.0285   0.7607   0.8087
   0.500   0.1924   0.01021   0.00547  -0.0289   0.7580   0.8103
   0.750   0.2218   0.01011   0.00533  -0.0294   0.7559   0.8117
   1.000   0.2513   0.01005   0.00524  -0.0299   0.7540   0.8129
   1.250   0.2784   0.01001   0.00526  -0.0300   0.7509   0.8142
   1.500   0.3062   0.00992   0.00520  -0.0302   0.7468   0.8157
   1.750   0.3352   0.00980   0.00507  -0.0305   0.7430   0.8173
   2.000   0.3652   0.00967   0.00492  -0.0310   0.7398   0.8188
   2.250   0.3923   0.00957   0.00485  -0.0310   0.7342   0.8205
   2.500   0.4212   0.00931   0.00457  -0.0312   0.7265   0.8223
   2.750   0.4490   0.00919   0.00446  -0.0313   0.7201   0.8243
   3.000   0.4766   0.00907   0.00435  -0.0314   0.7132   0.8263
   3.250   0.5041   0.00892   0.00421  -0.0315   0.7046   0.8280
   3.500   0.5310   0.00874   0.00404  -0.0313   0.6928   0.8296
   3.750   0.5559   0.00863   0.00398  -0.0308   0.6758   0.8313
   4.000   0.5798   0.00855   0.00391  -0.0301   0.6477   0.8333
   4.250   0.5839   0.00906   0.00388  -0.0255   0.5340   0.8363
   4.500   0.5774   0.01005   0.00439  -0.0195   0.4342   0.8405
   4.750   0.5710   0.01080   0.00482  -0.0135   0.3605   0.8445
   5.000   0.5609   0.01171   0.00541  -0.0070   0.2851   0.8485
   5.250   0.5547   0.01285   0.00616  -0.0018   0.1986   0.8530
   5.500   0.5473   0.01427   0.00703   0.0032   0.0901   0.8581
   5.750   0.5533   0.01516   0.00768   0.0062   0.0418   0.8619
   6.000   0.5692   0.01564   0.00816   0.0078   0.0366   0.8655
