  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 66,2-(1.8)12 A=.6 P-51 TIP AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0798   0.00777   0.00329  -0.0314   0.8151   0.7469
  -1.750  -0.0534   0.00786   0.00340  -0.0309   0.8137   0.7735
  -1.500  -0.0278   0.00806   0.00364  -0.0301   0.8125   0.8001
  -1.250  -0.0015   0.00824   0.00385  -0.0296   0.8110   0.8153
  -1.000   0.0250   0.00840   0.00403  -0.0292   0.8092   0.8273
  -0.750   0.0510   0.00857   0.00422  -0.0287   0.8073   0.8391
  -0.500   0.0778   0.00871   0.00438  -0.0284   0.8056   0.8465
  -0.250   0.1056   0.00875   0.00439  -0.0286   0.8039   0.8518
   0.000   0.1334   0.00877   0.00442  -0.0286   0.8022   0.8549
   0.250   0.1616   0.00878   0.00442  -0.0288   0.8005   0.8576
   0.500   0.1900   0.00880   0.00442  -0.0290   0.7990   0.8603
   0.750   0.2180   0.00883   0.00446  -0.0293   0.7967   0.8632
   1.000   0.2459   0.00885   0.00449  -0.0297   0.7938   0.8662
   1.250   0.2738   0.00883   0.00451  -0.0298   0.7910   0.8683
   1.500   0.3020   0.00880   0.00449  -0.0300   0.7883   0.8705
   1.750   0.3306   0.00876   0.00445  -0.0301   0.7858   0.8730
   2.000   0.3580   0.00872   0.00445  -0.0302   0.7811   0.8762
   2.250   0.3862   0.00850   0.00421  -0.0301   0.7736   0.8794
   2.500   0.4134   0.00830   0.00404  -0.0298   0.7651   0.8818
   2.750   0.4408   0.00805   0.00377  -0.0294   0.7545   0.8843
   3.000   0.4673   0.00782   0.00354  -0.0289   0.7406   0.8873
   3.250   0.4929   0.00759   0.00330  -0.0282   0.7192   0.8908
   3.500   0.5193   0.00750   0.00321  -0.0279   0.7013   0.8945
   3.750   0.5439   0.00744   0.00318  -0.0271   0.6725   0.8976
   4.000   0.5552   0.00799   0.00316  -0.0238   0.5325   0.9027
   4.250   0.5519   0.00957   0.00382  -0.0186   0.3336   0.9098
   4.500   0.5479   0.01118   0.00451  -0.0135   0.1337   0.9175
   4.750   0.5566   0.01211   0.00503  -0.0104   0.0514   0.9243
   5.000   0.5731   0.01255   0.00546  -0.0084   0.0421   0.9306
   5.250   0.5922   0.01283   0.00579  -0.0069   0.0387   0.9373
   5.500   0.6086   0.01318   0.00619  -0.0049   0.0355   0.9452
   5.750   0.6212   0.01367   0.00674  -0.0021   0.0330   0.9546
   6.000   0.6359   0.01432   0.00747  -0.0000   0.0313   0.9651
