  
       XFOIL         Version 6.99
  
 Calculated polar for: PROPFAN CRUISE MISSILE WING AIRFOIL             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0239   0.00625   0.00184  -0.0487   0.9466   0.6199
  -1.750   0.0020   0.00608   0.00182  -0.0481   0.9381   0.6778
  -1.500   0.0278   0.00598   0.00178  -0.0474   0.9297   0.7135
  -1.250   0.0527   0.00588   0.00178  -0.0465   0.9198   0.7551
  -1.000   0.0770   0.00577   0.00177  -0.0454   0.9099   0.7950
  -0.750   0.1023   0.00568   0.00172  -0.0446   0.9004   0.8183
  -0.500   0.1276   0.00559   0.00166  -0.0438   0.8909   0.8395
  -0.250   0.1528   0.00551   0.00163  -0.0431   0.8803   0.8621
   0.500   0.2372   0.00532   0.00157  -0.0425   0.8497   0.9695
   0.750   0.2775   0.00532   0.00154  -0.0453   0.8399   0.9995
   1.000   0.3046   0.00536   0.00154  -0.0453   0.8278   1.0000
   1.250   0.3315   0.00541   0.00154  -0.0451   0.8148   1.0000
   1.500   0.3582   0.00547   0.00154  -0.0448   0.7989   1.0000
   1.750   0.3847   0.00553   0.00155  -0.0445   0.7785   1.0000
   2.000   0.4103   0.00565   0.00154  -0.0438   0.7477   1.0000
   2.250   0.4363   0.00579   0.00157  -0.0434   0.7130   1.0000
   2.500   0.4624   0.00596   0.00162  -0.0429   0.6764   1.0000
   2.750   0.4878   0.00622   0.00168  -0.0424   0.6249   1.0000
   3.000   0.5131   0.00654   0.00181  -0.0420   0.5653   1.0000
   3.250   0.5371   0.00710   0.00199  -0.0414   0.4680   1.0000
   3.500   0.5556   0.00867   0.00251  -0.0406   0.2270   1.0000
   3.750   0.5761   0.01007   0.00312  -0.0399   0.0590   1.0000
   4.000   0.6006   0.01087   0.00384  -0.0394   0.0330   1.0000
   4.250   0.6266   0.01129   0.00433  -0.0391   0.0299   1.0000
   4.500   0.6522   0.01178   0.00485  -0.0387   0.0271   1.0000
   4.750   0.6767   0.01246   0.00558  -0.0382   0.0253   1.0000
   5.000   0.6987   0.01362   0.00683  -0.0372   0.0237   1.0000
   5.250   0.7217   0.01469   0.00798  -0.0364   0.0224   1.0000
   5.500   0.7470   0.01528   0.00867  -0.0359   0.0211   1.0000
   5.750   0.7711   0.01631   0.00979  -0.0352   0.0200   1.0000
   6.000   0.7954   0.01745   0.01103  -0.0346   0.0187   1.0000
