  
       XFOIL         Version 6.99
  
 Calculated polar for: PMC19 Smoothed                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1421   0.01301   0.00603   0.0067   0.6561   0.0295
  -1.750  -0.1154   0.01235   0.00522   0.0071   0.6367   0.0313
  -1.500  -0.0901   0.01132   0.00411   0.0076   0.6175   0.0336
  -1.250  -0.0629   0.01107   0.00378   0.0077   0.5979   0.0370
  -1.000  -0.0358   0.01072   0.00333   0.0079   0.5791   0.0396
  -0.750  -0.0082   0.01051   0.00300   0.0079   0.5610   0.0416
  -0.500   0.0188   0.01002   0.00241   0.0080   0.5438   0.0467
  -0.250   0.0467   0.00988   0.00219   0.0080   0.5263   0.0526
   0.000   0.0746   0.00968   0.00191   0.0080   0.5097   0.0608
   0.250   0.1026   0.00954   0.00175   0.0079   0.4942   0.0797
   0.500   0.1224   0.00741   0.00154   0.0084   0.4806   0.7147
   0.750   0.1482   0.00739   0.00161   0.0090   0.4661   0.7749
   1.000   0.1745   0.00744   0.00168   0.0095   0.4522   0.8056
   1.250   0.2013   0.00751   0.00174   0.0099   0.4394   0.8263
   1.500   0.2281   0.00759   0.00179   0.0103   0.4273   0.8431
   1.750   0.2534   0.00766   0.00188   0.0111   0.4156   0.8635
   2.000   0.2794   0.00774   0.00194   0.0116   0.4045   0.8781
   2.250   0.3062   0.00782   0.00199   0.0119   0.3943   0.8877
   2.750   0.3606   0.00795   0.00209   0.0121   0.3750   0.9033
   3.000   0.3876   0.00804   0.00215   0.0123   0.3662   0.9118
   3.250   0.4144   0.00811   0.00222   0.0125   0.3578   0.9212
   3.500   0.4409   0.00816   0.00229   0.0128   0.3502   0.9312
   3.750   0.4677   0.00824   0.00236   0.0130   0.3427   0.9428
   4.000   0.4967   0.00828   0.00245   0.0127   0.3351   0.9561
   4.250   0.5307   0.00843   0.00259   0.0112   0.3280   0.9699
   4.500   0.5683   0.00853   0.00273   0.0089   0.3199   0.9928
   4.750   0.5979   0.00868   0.00286   0.0082   0.3101   1.0000
   5.000   0.6264   0.00883   0.00300   0.0078   0.2995   1.0000
   5.250   0.6549   0.00898   0.00314   0.0074   0.2905   1.0000
   5.500   0.6833   0.00912   0.00329   0.0071   0.2795   1.0000
   5.750   0.7115   0.00928   0.00345   0.0068   0.2673   1.0000
   6.000   0.7396   0.00946   0.00364   0.0065   0.2526   1.0000
