  
       XFOIL         Version 6.99
  
 Calculated polar for: PSU-90-125WL                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1148   0.00728   0.00242  -0.0765   0.7946   0.6327
  -1.750   0.1422   0.00727   0.00241  -0.0763   0.7890   0.6513
  -1.500   0.1697   0.00725   0.00239  -0.0761   0.7835   0.6683
  -1.250   0.1975   0.00725   0.00238  -0.0760   0.7783   0.6839
  -1.000   0.2248   0.00723   0.00238  -0.0757   0.7721   0.6982
  -0.750   0.2527   0.00724   0.00235  -0.0756   0.7667   0.7116
  -0.500   0.2800   0.00723   0.00236  -0.0754   0.7605   0.7243
  -0.250   0.3076   0.00724   0.00235  -0.0753   0.7546   0.7367
   0.000   0.3351   0.00724   0.00236  -0.0751   0.7486   0.7482
   0.250   0.3624   0.00722   0.00236  -0.0749   0.7418   0.7589
   0.500   0.3898   0.00723   0.00237  -0.0747   0.7353   0.7695
   0.750   0.4169   0.00722   0.00237  -0.0744   0.7278   0.7806
   1.000   0.4441   0.00722   0.00238  -0.0742   0.7204   0.7923
   1.250   0.4709   0.00721   0.00239  -0.0738   0.7125   0.8033
   1.500   0.4975   0.00720   0.00242  -0.0735   0.7040   0.8144
   1.750   0.5241   0.00720   0.00242  -0.0731   0.6957   0.8260
   2.000   0.5502   0.00719   0.00246  -0.0726   0.6855   0.8384
   2.250   0.5761   0.00718   0.00249  -0.0721   0.6749   0.8515
   2.500   0.6015   0.00718   0.00252  -0.0714   0.6632   0.8653
   2.750   0.6263   0.00719   0.00255  -0.0706   0.6501   0.8801
   3.000   0.6502   0.00720   0.00259  -0.0696   0.6356   0.8966
   3.250   0.6732   0.00723   0.00263  -0.0685   0.6192   0.9160
   3.500   0.6966   0.00729   0.00268  -0.0673   0.6011   0.9377
   3.750   0.7255   0.00739   0.00276  -0.0675   0.5792   0.9606
   4.000   0.7615   0.00758   0.00286  -0.0694   0.5544   0.9791
   4.250   0.7994   0.00781   0.00300  -0.0718   0.5278   0.9964
   4.500   0.8229   0.00806   0.00314  -0.0712   0.5041   1.0000
   4.750   0.8448   0.00831   0.00330  -0.0702   0.4805   1.0000
   5.000   0.8670   0.00859   0.00348  -0.0692   0.4572   1.0000
   5.250   0.8890   0.00890   0.00370  -0.0683   0.4334   1.0000
   5.500   0.9114   0.00920   0.00392  -0.0674   0.4098   1.0000
   5.750   0.9336   0.00952   0.00416  -0.0665   0.3867   1.0000
   6.000   0.9553   0.00988   0.00441  -0.0655   0.3631   1.0000
