  
       XFOIL         Version 6.99
  
 Calculated polar for: PSU 94-097 (AIAA 2001-2478)                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2710   0.00834   0.00246  -0.1085   0.7873   0.2393
  -1.750   0.3008   0.00789   0.00238  -0.1093   0.7819   0.3680
  -1.500   0.3304   0.00742   0.00235  -0.1100   0.7768   0.5278
  -1.250   0.3591   0.00714   0.00238  -0.1103   0.7721   0.6500
  -1.000   0.3871   0.00696   0.00239  -0.1102   0.7663   0.7294
  -0.750   0.4138   0.00684   0.00238  -0.1097   0.7611   0.7926
  -0.500   0.4389   0.00672   0.00239  -0.1088   0.7552   0.8497
  -0.250   0.4606   0.00659   0.00233  -0.1071   0.7494   0.9051
   0.000   0.4847   0.00643   0.00218  -0.1059   0.7434   1.0000
   0.250   0.5144   0.00647   0.00214  -0.1063   0.7365   1.0000
   0.500   0.5438   0.00653   0.00212  -0.1067   0.7297   1.0000
   0.750   0.5732   0.00658   0.00211  -0.1070   0.7231   1.0000
   1.000   0.6025   0.00665   0.00211  -0.1074   0.7165   1.0000
   1.250   0.6316   0.00671   0.00211  -0.1077   0.7096   1.0000
   1.500   0.6607   0.00677   0.00214  -0.1079   0.7023   1.0000
   1.750   0.6896   0.00684   0.00216  -0.1082   0.6951   1.0000
   2.000   0.7185   0.00690   0.00221  -0.1084   0.6871   1.0000
   2.250   0.7472   0.00698   0.00224  -0.1086   0.6797   1.0000
   2.500   0.7759   0.00704   0.00229  -0.1089   0.6709   1.0000
   2.750   0.8045   0.00711   0.00236  -0.1091   0.6619   1.0000
   3.000   0.8330   0.00720   0.00242  -0.1092   0.6528   1.0000
   3.250   0.8613   0.00728   0.00248  -0.1094   0.6424   1.0000
   3.500   0.8896   0.00737   0.00256  -0.1095   0.6307   1.0000
   3.750   0.9176   0.00747   0.00267  -0.1096   0.6179   1.0000
   4.000   0.9454   0.00759   0.00276  -0.1097   0.6032   1.0000
   4.250   0.9730   0.00772   0.00288  -0.1097   0.5858   1.0000
   4.500   1.0002   0.00790   0.00302  -0.1096   0.5646   1.0000
   4.750   1.0268   0.00813   0.00318  -0.1095   0.5390   1.0000
   5.000   1.0527   0.00844   0.00338  -0.1093   0.5095   1.0000
   5.250   1.0780   0.00881   0.00363  -0.1090   0.4743   1.0000
   5.500   1.1024   0.00928   0.00395  -0.1086   0.4348   1.0000
   5.750   1.1262   0.00981   0.00431  -0.1081   0.3941   1.0000
   6.000   1.1497   0.01038   0.00470  -0.1077   0.3556   1.0000
