  
       XFOIL         Version 6.99
  
 Calculated polar for: RONCZ 1046 VOYAGER CANARD AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4166   0.01249   0.00522  -0.1192   0.5791   0.1879
  -1.750   0.4408   0.01215   0.00520  -0.1189   0.5779   0.2850
  -1.500   0.4646   0.01180   0.00521  -0.1185   0.5768   0.3970
  -1.250   0.4882   0.01151   0.00526  -0.1180   0.5756   0.5096
  -1.000   0.5129   0.01137   0.00532  -0.1175   0.5744   0.5858
  -0.750   0.5375   0.01124   0.00539  -0.1170   0.5733   0.6546
  -0.500   0.5616   0.01111   0.00545  -0.1163   0.5722   0.7250
  -0.250   0.5858   0.01099   0.00551  -0.1155   0.5711   0.7890
   0.000   0.6114   0.01094   0.00559  -0.1149   0.5699   0.8500
   0.250   0.6442   0.01102   0.00575  -0.1157   0.5689   0.9099
   0.500   0.6835   0.01126   0.00594  -0.1180   0.5678   0.9486
   0.750   0.7261   0.01155   0.00618  -0.1212   0.5666   0.9681
   1.000   0.7707   0.01168   0.00629  -0.1250   0.5657   0.9769
   1.250   0.8134   0.01182   0.00639  -0.1284   0.5647   0.9847
   1.500   0.8600   0.01192   0.00647  -0.1327   0.5635   0.9899
   1.750   0.9073   0.01202   0.00654  -0.1371   0.5621   0.9959
   2.000   0.9505   0.01210   0.00661  -0.1408   0.5608   1.0000
   2.250   0.9712   0.01224   0.00673  -0.1398   0.5597   1.0000
   2.500   0.9926   0.01237   0.00685  -0.1389   0.5586   1.0000
   2.750   1.0146   0.01251   0.00697  -0.1381   0.5575   1.0000
   3.000   1.0372   0.01264   0.00708  -0.1374   0.5565   1.0000
   3.250   1.0606   0.01277   0.00719  -0.1368   0.5554   1.0000
   3.500   1.0846   0.01291   0.00729  -0.1364   0.5543   1.0000
   3.750   1.1092   0.01310   0.00746  -0.1361   0.5532   1.0000
   4.000   1.1335   0.01343   0.00776  -0.1358   0.5520   1.0000
   4.250   1.1539   0.01364   0.00800  -0.1348   0.5510   1.0000
   4.500   1.1739   0.01382   0.00824  -0.1336   0.5499   1.0000
   4.750   1.1939   0.01401   0.00846  -0.1324   0.5485   1.0000
   5.000   1.2143   0.01420   0.00868  -0.1314   0.5470   1.0000
   5.250   1.2356   0.01439   0.00890  -0.1305   0.5457   1.0000
   5.500   1.2574   0.01458   0.00913  -0.1297   0.5444   1.0000
   5.750   1.2800   0.01474   0.00931  -0.1290   0.5430   1.0000
   6.000   1.3039   0.01488   0.00946  -0.1286   0.5418   1.0000
