  
       XFOIL         Version 6.99
  
 Calculated polar for: RONCZ 1080 VOYAGER INNER AFT WING AIRFOIL       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0977   0.01035   0.00514  -0.0568   0.6434   0.7641
  -1.750   0.1265   0.01059   0.00535  -0.0569   0.6422   0.7711
  -1.500   0.1542   0.01084   0.00552  -0.0570   0.6410   0.7786
  -1.250   0.1822   0.01100   0.00572  -0.0569   0.6403   0.7838
  -1.000   0.2096   0.01119   0.00591  -0.0567   0.6394   0.7910
  -0.750   0.2365   0.01139   0.00613  -0.0564   0.6383   0.7981
  -0.500   0.2635   0.01163   0.00639  -0.0560   0.6371   0.8050
  -0.250   0.2904   0.01177   0.00652  -0.0559   0.6357   0.8116
   0.000   0.3174   0.01191   0.00668  -0.0556   0.6345   0.8153
   0.250   0.3449   0.01203   0.00681  -0.0556   0.6333   0.8189
   0.500   0.3726   0.01210   0.00686  -0.0558   0.6321   0.8220
   0.750   0.4009   0.01213   0.00686  -0.0562   0.6308   0.8248
   1.000   0.4294   0.01217   0.00686  -0.0566   0.6296   0.8272
   1.250   0.4576   0.01218   0.00686  -0.0569   0.6283   0.8288
   1.500   0.4861   0.01225   0.00691  -0.0572   0.6271   0.8305
   1.750   0.5148   0.01239   0.00703  -0.0576   0.6257   0.8322
   2.000   0.5417   0.01247   0.00714  -0.0577   0.6242   0.8340
   2.250   0.5683   0.01250   0.00720  -0.0578   0.6226   0.8360
   2.500   0.5952   0.01253   0.00725  -0.0579   0.6207   0.8379
   2.750   0.6226   0.01256   0.00730  -0.0582   0.6187   0.8398
   3.000   0.6506   0.01258   0.00731  -0.0585   0.6168   0.8416
   3.500   0.7082   0.01251   0.00724  -0.0594   0.6128   0.8444
   3.750   0.7381   0.01252   0.00722  -0.0600   0.6107   0.8456
   4.000   0.7653   0.01259   0.00732  -0.0602   0.6084   0.8469
   4.250   0.7903   0.01255   0.00735  -0.0599   0.6054   0.8484
   4.500   0.8167   0.01250   0.00733  -0.0599   0.6022   0.8500
   4.750   0.8449   0.01240   0.00724  -0.0601   0.5991   0.8517
   5.000   0.8753   0.01229   0.00711  -0.0608   0.5962   0.8532
   5.250   0.9044   0.01231   0.00711  -0.0614   0.5932   0.8546
   5.500   0.9279   0.01225   0.00714  -0.0608   0.5894   0.8563
   5.750   0.9545   0.01216   0.00709  -0.0609   0.5856   0.8579
   6.000   0.9834   0.01203   0.00695  -0.0613   0.5820   0.8592
