  
       XFOIL         Version 6.99
  
 Calculated polar for: RONCZ 1082T VOYAGER TIP OUTER AFT WING AIRFOIL  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0851   0.00895   0.00372  -0.0587   0.6358   0.7690
  -1.750   0.1131   0.00912   0.00384  -0.0586   0.6339   0.7785
  -1.500   0.1412   0.00930   0.00395  -0.0586   0.6320   0.7871
  -1.250   0.1686   0.00940   0.00406  -0.0584   0.6301   0.7932
  -1.000   0.1960   0.00953   0.00417  -0.0583   0.6280   0.8006
  -0.750   0.2231   0.00967   0.00431  -0.0579   0.6262   0.8079
  -0.500   0.2501   0.00987   0.00449  -0.0576   0.6244   0.8169
  -0.250   0.2770   0.01001   0.00464  -0.0572   0.6227   0.8232
   0.000   0.3044   0.01015   0.00475  -0.0570   0.6210   0.8287
   0.250   0.3330   0.01024   0.00479  -0.0573   0.6193   0.8334
   0.500   0.3611   0.01035   0.00486  -0.0575   0.6175   0.8362
   0.750   0.3881   0.01039   0.00493  -0.0574   0.6160   0.8389
   1.000   0.4155   0.01043   0.00498  -0.0574   0.6142   0.8417
   1.250   0.4433   0.01047   0.00502  -0.0576   0.6122   0.8446
   1.500   0.4717   0.01051   0.00505  -0.0580   0.6103   0.8474
   1.750   0.5000   0.01053   0.00506  -0.0583   0.6084   0.8497
   2.000   0.5279   0.01056   0.00508  -0.0584   0.6065   0.8515
   2.250   0.5563   0.01062   0.00513  -0.0587   0.6047   0.8533
   2.500   0.5852   0.01075   0.00523  -0.0592   0.6027   0.8552
   2.750   0.6119   0.01076   0.00529  -0.0592   0.6005   0.8573
   3.000   0.6392   0.01078   0.00535  -0.0593   0.5980   0.8592
   3.250   0.6671   0.01080   0.00539  -0.0596   0.5954   0.8613
   3.500   0.6958   0.01082   0.00540  -0.0600   0.5927   0.8632
   3.750   0.7245   0.01084   0.00541  -0.0604   0.5902   0.8646
   4.000   0.7529   0.01094   0.00550  -0.0608   0.5874   0.8660
   4.250   0.7780   0.01091   0.00556  -0.0604   0.5842   0.8679
   4.500   0.8046   0.01089   0.00560  -0.0603   0.5805   0.8696
   4.750   0.8323   0.01087   0.00558  -0.0605   0.5768   0.8713
   5.000   0.8614   0.01094   0.00562  -0.0610   0.5731   0.8730
   5.250   0.8860   0.01089   0.00566  -0.0606   0.5686   0.8751
   5.500   0.9125   0.01084   0.00565  -0.0605   0.5636   0.8773
   5.750   0.9405   0.01083   0.00561  -0.0607   0.5590   0.8791
   6.000   0.9642   0.01079   0.00568  -0.0601   0.5539   0.8809
