  
       XFOIL         Version 6.99
  
 Calculated polar for: R140 (original)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1441   0.00840   0.00170  -0.0139   0.7961   0.2910
  -1.750  -0.1288   0.00766   0.00151  -0.0118   0.7778   0.4364
  -1.500  -0.1160   0.00704   0.00144  -0.0089   0.7618   0.5870
  -1.250  -0.0941   0.00698   0.00143  -0.0076   0.7475   0.6325
  -1.000  -0.0693   0.00699   0.00139  -0.0070   0.7366   0.6490
  -0.500  -0.0193   0.00696   0.00136  -0.0060   0.7136   0.6786
  -0.250   0.0057   0.00691   0.00134  -0.0055   0.7037   0.6949
   0.000   0.0311   0.00686   0.00133  -0.0050   0.6955   0.7066
   0.250   0.0566   0.00684   0.00134  -0.0046   0.6876   0.7175
   0.500   0.0821   0.00682   0.00137  -0.0042   0.6802   0.7334
   0.750   0.1078   0.00685   0.00140  -0.0038   0.6733   0.7498
   1.000   0.1335   0.00685   0.00146  -0.0035   0.6651   0.7640
   1.250   0.1591   0.00686   0.00152  -0.0030   0.6572   0.7805
   1.500   0.1841   0.00689   0.00156  -0.0025   0.6445   0.7977
   1.750   0.2085   0.00690   0.00156  -0.0018   0.6241   0.8107
   2.000   0.2321   0.00695   0.00160  -0.0009   0.6001   0.8245
   2.750   0.2952   0.00767   0.00179   0.0031   0.4165   0.8656
   3.250   0.3232   0.00980   0.00266   0.0074   0.0814   0.8950
   3.500   0.3465   0.01050   0.00298   0.0081   0.0084   0.9111
   3.750   0.3780   0.01065   0.00332   0.0073   0.0071   0.9251
   4.000   0.4090   0.01093   0.00372   0.0065   0.0067   0.9377
   4.250   0.4441   0.01128   0.00424   0.0049   0.0067   0.9475
   4.500   0.4784   0.01172   0.00482   0.0034   0.0070   0.9539
   4.750   0.5108   0.01228   0.00552   0.0023   0.0075   0.9601
   5.000   0.5440   0.01309   0.00651   0.0010   0.0083   0.9659
   5.250   0.5693   0.01436   0.00793   0.0013   0.0093   0.9720
   5.500   0.5924   0.01617   0.00987   0.0019   0.0102   0.9779
   5.750   0.6264   0.01676   0.01052   0.0008   0.0120   0.9826
