  
       XFOIL         Version 6.99
  
 Calculated polar for: R140  12.04% (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1838   0.00668   0.00193  -0.0059   0.8168   0.7027
  -1.750  -0.1583   0.00664   0.00185  -0.0054   0.8027   0.7144
  -1.500  -0.1326   0.00661   0.00178  -0.0050   0.7895   0.7259
  -1.250  -0.1069   0.00659   0.00172  -0.0045   0.7770   0.7374
  -1.000  -0.0810   0.00658   0.00168  -0.0042   0.7653   0.7477
  -0.750  -0.0549   0.00659   0.00165  -0.0039   0.7547   0.7584
  -0.500  -0.0289   0.00659   0.00164  -0.0035   0.7444   0.7699
  -0.250  -0.0029   0.00660   0.00164  -0.0032   0.7348   0.7821
   0.000   0.0232   0.00662   0.00166  -0.0029   0.7261   0.7946
   0.250   0.0493   0.00664   0.00168  -0.0026   0.7177   0.8078
   0.500   0.0755   0.00666   0.00172  -0.0023   0.7097   0.8213
   0.750   0.1019   0.00670   0.00176  -0.0020   0.7025   0.8349
   1.000   0.1283   0.00671   0.00182  -0.0017   0.6947   0.8482
   1.250   0.1551   0.00676   0.00188  -0.0015   0.6882   0.8612
   1.500   0.1821   0.00679   0.00196  -0.0014   0.6811   0.8740
   1.750   0.2095   0.00685   0.00205  -0.0013   0.6749   0.8862
   2.000   0.2370   0.00690   0.00214  -0.0013   0.6673   0.8981
   2.250   0.2654   0.00696   0.00225  -0.0014   0.6581   0.9088
   2.500   0.2953   0.00704   0.00234  -0.0018   0.6463   0.9180
   2.750   0.3254   0.00712   0.00244  -0.0023   0.6355   0.9270
   3.000   0.3541   0.00722   0.00255  -0.0025   0.6246   0.9365
   3.250   0.3888   0.00732   0.00271  -0.0041   0.6092   0.9418
   3.500   0.4176   0.00743   0.00281  -0.0043   0.5884   0.9497
   3.750   0.4535   0.00758   0.00296  -0.0061   0.5633   0.9533
   4.000   0.4853   0.00781   0.00309  -0.0071   0.5190   0.9585
   4.250   0.5129   0.00837   0.00330  -0.0074   0.4201   0.9638
   4.500   0.5272   0.01079   0.00429  -0.0065   0.1057   0.9701
   4.750   0.5518   0.01194   0.00504  -0.0064   0.0251   0.9761
   5.000   0.5857   0.01254   0.00572  -0.0081   0.0206   0.9790
   5.250   0.6135   0.01351   0.00682  -0.0085   0.0172   0.9843
   5.500   0.6455   0.01418   0.00756  -0.0098   0.0155   0.9876
   5.750   0.6766   0.01511   0.00859  -0.0110   0.0142   0.9911
   6.000   0.7052   0.01618   0.00974  -0.0117   0.0127   0.9949
