  
       XFOIL         Version 6.99
  
 Calculated polar for: RAE 103 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2118   0.00631   0.00188  -0.0032   0.8807   0.7026
  -1.750  -0.1855   0.00630   0.00185  -0.0028   0.8682   0.7168
  -1.500  -0.1593   0.00630   0.00182  -0.0023   0.8563   0.7302
  -1.250  -0.1330   0.00630   0.00180  -0.0018   0.8451   0.7429
  -1.000  -0.1065   0.00630   0.00178  -0.0014   0.8349   0.7546
  -0.750  -0.0800   0.00630   0.00176  -0.0010   0.8248   0.7654
  -0.500  -0.0534   0.00629   0.00176  -0.0006   0.8145   0.7757
  -0.250  -0.0267   0.00630   0.00175  -0.0003   0.8051   0.7859
   0.000   0.0000   0.00632   0.00174  -0.0000   0.7960   0.7961
   0.250   0.0268   0.00630   0.00175   0.0003   0.7859   0.8051
   0.500   0.0535   0.00629   0.00176   0.0006   0.7757   0.8145
   0.750   0.0801   0.00630   0.00176   0.0010   0.7653   0.8248
   1.000   0.1066   0.00630   0.00178   0.0014   0.7546   0.8349
   1.250   0.1331   0.00630   0.00180   0.0018   0.7430   0.8451
   1.500   0.1594   0.00630   0.00182   0.0023   0.7302   0.8563
   1.750   0.1856   0.00630   0.00185   0.0027   0.7168   0.8683
   2.000   0.2118   0.00631   0.00188   0.0032   0.7025   0.8807
   2.250   0.2383   0.00633   0.00194   0.0037   0.6869   0.8938
   2.500   0.2651   0.00635   0.00200   0.0041   0.6694   0.9072
   2.750   0.2927   0.00642   0.00207   0.0043   0.6498   0.9207
   3.000   0.3215   0.00650   0.00216   0.0043   0.6251   0.9336
   3.250   0.3510   0.00664   0.00225   0.0040   0.5903   0.9456
   3.500   0.3825   0.00695   0.00235   0.0032   0.5140   0.9544
   3.750   0.4087   0.00800   0.00267   0.0028   0.3361   0.9636
   4.000   0.4366   0.00900   0.00309   0.0021   0.1972   0.9725
   4.250   0.4708   0.00987   0.00352  -0.0000   0.1002   0.9768
   4.500   0.5035   0.01052   0.00396  -0.0015   0.0587   0.9832
   4.750   0.5389   0.01116   0.00454  -0.0034   0.0421   0.9874
   5.000   0.5746   0.01163   0.00501  -0.0054   0.0345   0.9919
   5.250   0.6092   0.01229   0.00573  -0.0072   0.0300   0.9961
   5.500   0.6458   0.01275   0.00619  -0.0094   0.0259   0.9996
   5.750   0.6602   0.01373   0.00724  -0.0071   0.0234   1.0000
   6.000   0.6775   0.01417   0.00774  -0.0051   0.0221   1.0000
