  
       XFOIL         Version 6.99
  
 Calculated polar for: RAE 5214 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0197   0.00664   0.00234  -0.0601   0.9294   0.5745
  -1.750   0.0471   0.00659   0.00229  -0.0594   0.9178   0.5972
  -1.500   0.0742   0.00657   0.00225  -0.0587   0.9054   0.6160
  -1.250   0.1010   0.00661   0.00227  -0.0578   0.8926   0.6358
  -1.000   0.1271   0.00669   0.00235  -0.0569   0.8789   0.6547
  -0.750   0.1532   0.00676   0.00241  -0.0560   0.8636   0.6697
  -0.500   0.1802   0.00682   0.00240  -0.0553   0.8482   0.6792
  -0.250   0.2071   0.00678   0.00234  -0.0547   0.8315   0.6836
   0.000   0.2342   0.00679   0.00230  -0.0542   0.8147   0.6880
   0.250   0.2616   0.00681   0.00226  -0.0537   0.7978   0.6928
   0.500   0.2890   0.00684   0.00222  -0.0533   0.7797   0.6972
   1.000   0.3423   0.00694   0.00219  -0.0522   0.7280   0.7057
   1.250   0.3683   0.00708   0.00218  -0.0515   0.6889   0.7105
   1.500   0.3927   0.00732   0.00217  -0.0505   0.6211   0.7148
   2.000   0.4334   0.00886   0.00253  -0.0477   0.3375   0.7237
   2.250   0.4560   0.00965   0.00278  -0.0470   0.2236   0.7284
   2.500   0.4812   0.01002   0.00297  -0.0465   0.1810   0.7329
   2.750   0.5072   0.01031   0.00317  -0.0461   0.1570   0.7376
   3.000   0.5337   0.01057   0.00335  -0.0458   0.1414   0.7427
   3.250   0.5600   0.01082   0.00354  -0.0454   0.1300   0.7477
   3.500   0.5865   0.01100   0.00372  -0.0451   0.1216   0.7528
   3.750   0.6130   0.01125   0.00395  -0.0447   0.1145   0.7585
   4.000   0.6393   0.01148   0.00415  -0.0444   0.1074   0.7642
   4.250   0.6655   0.01167   0.00437  -0.0440   0.1012   0.7704
   4.500   0.6916   0.01195   0.00462  -0.0437   0.0954   0.7775
   4.750   0.7174   0.01217   0.00489  -0.0432   0.0907   0.7843
   5.000   0.7435   0.01239   0.00512  -0.0428   0.0860   0.7926
   5.250   0.7686   0.01268   0.00545  -0.0423   0.0815   0.8017
   5.500   0.7946   0.01284   0.00566  -0.0419   0.0773   0.8130
   6.000   0.8442   0.01322   0.00619  -0.0406   0.0691   0.8470
