  
       XFOIL         Version 6.99
  
 Calculated polar for: RAF 26 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0152   0.00719   0.00220  -0.0533   0.9543   0.3928
  -1.750   0.0178   0.00679   0.00199  -0.0544   0.9489   0.4668
  -1.500   0.0481   0.00637   0.00181  -0.0549   0.9413   0.5465
  -1.250   0.0817   0.00582   0.00165  -0.0560   0.9351   0.6734
  -1.000   0.1115   0.00522   0.00159  -0.0562   0.9282   0.8350
  -0.750   0.2029   0.00510   0.00168  -0.0704   0.9324   1.0000
  -0.500   0.2561   0.00497   0.00145  -0.0760   0.9206   1.0000
  -0.250   0.3032   0.00491   0.00130  -0.0803   0.9065   1.0000
   0.000   0.3400   0.00493   0.00123  -0.0822   0.8892   1.0000
   0.250   0.3702   0.00500   0.00120  -0.0827   0.8705   1.0000
   0.500   0.3964   0.00508   0.00121  -0.0822   0.8516   1.0000
   0.750   0.4210   0.00517   0.00121  -0.0813   0.8295   1.0000
   1.000   0.4444   0.00526   0.00122  -0.0802   0.8045   1.0000
   1.250   0.4679   0.00536   0.00126  -0.0790   0.7799   1.0000
   1.500   0.4907   0.00549   0.00129  -0.0778   0.7512   1.0000
   1.750   0.5124   0.00567   0.00133  -0.0763   0.7140   1.0000
   2.000   0.5341   0.00587   0.00140  -0.0748   0.6776   1.0000
   2.250   0.5550   0.00613   0.00151  -0.0732   0.6340   1.0000
   2.500   0.5743   0.00649   0.00163  -0.0712   0.5698   1.0000
   2.750   0.5879   0.00725   0.00183  -0.0683   0.4383   1.0000
   3.000   0.6068   0.00783   0.00210  -0.0666   0.3630   1.0000
   3.250   0.6197   0.00899   0.00251  -0.0640   0.1842   1.0000
   3.500   0.6381   0.00977   0.00287  -0.0623   0.0983   1.0000
   4.000   0.6836   0.01050   0.00358  -0.0603   0.0763   1.0000
   4.250   0.7079   0.01072   0.00382  -0.0596   0.0596   1.0000
   4.500   0.7281   0.01144   0.00432  -0.0579   0.0195   1.0000
   4.750   0.7495   0.01205   0.00501  -0.0564   0.0152   1.0000
   5.000   0.7673   0.01313   0.00624  -0.0542   0.0129   1.0000
   5.250   0.7827   0.01465   0.00793  -0.0514   0.0121   1.0000
   5.500   0.8050   0.01529   0.00868  -0.0502   0.0113   1.0000
   5.750   0.8261   0.01630   0.00980  -0.0487   0.0104   1.0000
   6.000   0.8467   0.01783   0.01150  -0.0470   0.0100   1.0000
