  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY RC08-64C AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1099   0.01137   0.00490  -0.0237   0.9704   0.0178
  -1.750  -0.0755   0.01047   0.00404  -0.0250   0.9675   0.0171
  -1.500  -0.0420   0.00988   0.00347  -0.0261   0.9640   0.0181
  -1.250  -0.0126   0.00953   0.00313  -0.0262   0.9573   0.0177
  -1.000   0.0199   0.00916   0.00274  -0.0270   0.9528   0.0177
  -0.750   0.0469   0.00888   0.00243  -0.0265   0.9434   0.0184
  -0.500   0.0735   0.00861   0.00212  -0.0256   0.9287   0.0204
  -0.250   0.0972   0.00799   0.00191  -0.0246   0.9152   0.1537
   0.000   0.1021   0.00564   0.00173  -0.0201   0.8969   0.7806
   0.250   0.1217   0.00543   0.00192  -0.0169   0.8788   0.9236
   0.500   0.1588   0.00571   0.00213  -0.0174   0.8420   0.9696
   0.750   0.1991   0.00599   0.00211  -0.0194   0.7719   0.9792
   1.000   0.2480   0.00687   0.00216  -0.0236   0.5888   0.9900
   1.250   0.2876   0.00964   0.00263  -0.0277   0.0243   0.9961
   1.500   0.3274   0.00983   0.00277  -0.0304   0.0187   0.9990
   1.750   0.3570   0.00999   0.00294  -0.0309   0.0176   1.0000
   2.000   0.3813   0.01018   0.00316  -0.0302   0.0170   1.0000
   2.250   0.4052   0.01042   0.00342  -0.0294   0.0168   1.0000
   2.500   0.4278   0.01090   0.00392  -0.0284   0.0159   1.0000
   2.750   0.4501   0.01131   0.00435  -0.0274   0.0153   1.0000
   3.000   0.4717   0.01184   0.00488  -0.0261   0.0153   1.0000
   3.250   0.4919   0.01260   0.00565  -0.0246   0.0156   1.0000
   3.500   0.5134   0.01308   0.00613  -0.0232   0.0161   1.0000
   3.750   0.5353   0.01374   0.00693  -0.0215   0.0189   1.0000
   4.000   0.5580   0.01566   0.00886  -0.0198   0.0257   1.0000
