  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY RC-08(B)3 AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1211   0.00886   0.00251  -0.0163   0.9506   0.1004
  -1.750  -0.0986   0.00827   0.00233  -0.0153   0.9423   0.2138
  -1.500  -0.0801   0.00728   0.00214  -0.0137   0.9345   0.4407
  -1.250  -0.0720   0.00594   0.00200  -0.0094   0.9243   0.7545
  -1.000  -0.0368   0.00586   0.00243  -0.0097   0.9193   0.9296
  -0.750  -0.0033   0.00616   0.00268  -0.0100   0.9116   0.9579
  -0.500   0.0419   0.00638   0.00284  -0.0133   0.9057   0.9697
  -0.250   0.0850   0.00652   0.00292  -0.0163   0.8983   0.9788
   0.000   0.1518   0.00670   0.00305  -0.0244   0.8933   0.9949
   0.250   0.1982   0.00662   0.00292  -0.0285   0.8835   1.0000
   0.500   0.2229   0.00656   0.00282  -0.0278   0.8710   1.0000
   0.750   0.2479   0.00651   0.00272  -0.0272   0.8580   1.0000
   1.000   0.2729   0.00647   0.00263  -0.0265   0.8429   1.0000
   1.250   0.2981   0.00644   0.00255  -0.0259   0.8270   1.0000
   1.500   0.3239   0.00642   0.00249  -0.0255   0.8107   1.0000
   1.750   0.3495   0.00642   0.00243  -0.0250   0.7907   1.0000
   2.000   0.3752   0.00644   0.00239  -0.0245   0.7675   1.0000
   2.250   0.4007   0.00650   0.00234  -0.0239   0.7337   1.0000
   2.500   0.4263   0.00661   0.00231  -0.0234   0.6927   1.0000
   2.750   0.4520   0.00678   0.00232  -0.0230   0.6427   1.0000
   3.000   0.4774   0.00707   0.00235  -0.0226   0.5755   1.0000
   3.250   0.5025   0.00750   0.00244  -0.0223   0.4920   1.0000
   3.500   0.5271   0.00809   0.00260  -0.0220   0.3907   1.0000
   3.750   0.5516   0.00867   0.00281  -0.0218   0.3021   1.0000
   4.000   0.5758   0.00921   0.00302  -0.0215   0.2273   1.0000
   4.250   0.5993   0.00979   0.00329  -0.0210   0.1563   1.0000
   4.500   0.6220   0.01042   0.00361  -0.0204   0.0942   1.0000
   4.750   0.6448   0.01098   0.00401  -0.0197   0.0611   1.0000
   5.000   0.6678   0.01143   0.00441  -0.0189   0.0482   1.0000
   5.250   0.6902   0.01198   0.00495  -0.0179   0.0411   1.0000
   5.500   0.7130   0.01235   0.00537  -0.0170   0.0375   1.0000
   5.750   0.7348   0.01286   0.00590  -0.0159   0.0345   1.0000
   6.000   0.7535   0.01388   0.00700  -0.0143   0.0318   1.0000
