  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY RC-12(N)1 AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1703   0.00905   0.00262   0.0038   0.7237   0.3269
  -1.750  -0.1544   0.00788   0.00249   0.0058   0.7198   0.6054
  -1.500  -0.1291   0.00770   0.00247   0.0064   0.7151   0.6630
  -1.250  -0.1029   0.00757   0.00241   0.0069   0.7108   0.6955
  -1.000  -0.0764   0.00747   0.00234   0.0073   0.7071   0.7224
  -0.750  -0.0498   0.00731   0.00229   0.0076   0.7023   0.7491
  -0.500  -0.0234   0.00713   0.00223   0.0080   0.6977   0.7785
  -0.250   0.0022   0.00697   0.00224   0.0088   0.6936   0.8229
   0.000   0.0291   0.00691   0.00233   0.0093   0.6887   0.8715
   0.250   0.0578   0.00691   0.00237   0.0094   0.6836   0.9026
   0.500   0.0877   0.00696   0.00239   0.0092   0.6792   0.9227
   0.750   0.1202   0.00701   0.00245   0.0083   0.6736   0.9376
   1.000   0.1530   0.00707   0.00248   0.0074   0.6682   0.9499
   1.250   0.1902   0.00718   0.00254   0.0055   0.6634   0.9568
   1.500   0.2249   0.00725   0.00262   0.0040   0.6573   0.9644
   1.750   0.2644   0.00733   0.00266   0.0015   0.6519   0.9686
   2.000   0.2991   0.00742   0.00274   0.0001   0.6459   0.9752
   2.250   0.3392   0.00747   0.00277  -0.0027   0.6395   0.9783
   2.500   0.3766   0.00754   0.00283  -0.0048   0.6333   0.9829
   2.750   0.4138   0.00758   0.00288  -0.0069   0.6262   0.9871
   3.000   0.4527   0.00761   0.00290  -0.0094   0.6185   0.9904
   3.250   0.4892   0.00762   0.00290  -0.0114   0.6059   0.9944
   3.500   0.5281   0.00761   0.00287  -0.0139   0.5911   0.9972
   3.750   0.5663   0.00762   0.00288  -0.0163   0.5752   1.0000
   4.000   0.5927   0.00765   0.00290  -0.0161   0.5622   1.0000
   4.250   0.6191   0.00769   0.00294  -0.0160   0.5485   1.0000
   4.500   0.6453   0.00776   0.00298  -0.0159   0.5295   1.0000
   4.750   0.6713   0.00787   0.00304  -0.0157   0.5041   1.0000
   5.000   0.6967   0.00806   0.00314  -0.0154   0.4705   1.0000
   5.250   0.7213   0.00837   0.00329  -0.0151   0.4274   1.0000
   5.500   0.7449   0.00884   0.00354  -0.0148   0.3737   1.0000
   5.750   0.7673   0.00945   0.00389  -0.0143   0.3150   1.0000
   6.000   0.7887   0.01011   0.00429  -0.0137   0.2550   1.0000
