  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA RC(4)-10 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0976   0.01045   0.00349  -0.0078   0.7249   0.1116
  -1.750  -0.0696   0.01042   0.00344  -0.0076   0.7191   0.1179
  -1.500  -0.0411   0.01036   0.00336  -0.0075   0.7124   0.1223
  -1.250  -0.0141   0.01009   0.00310  -0.0072   0.7063   0.1282
  -1.000   0.0140   0.00997   0.00299  -0.0070   0.6997   0.1334
  -0.750   0.0420   0.00986   0.00285  -0.0068   0.6932   0.1382
  -0.500   0.0695   0.00966   0.00268  -0.0066   0.6861   0.1446
  -0.250   0.0976   0.00955   0.00256  -0.0064   0.6780   0.1503
   0.000   0.1253   0.00938   0.00242  -0.0062   0.6705   0.1577
   0.250   0.1532   0.00928   0.00231  -0.0060   0.6621   0.1654
   0.500   0.1810   0.00911   0.00219  -0.0058   0.6520   0.1754
   0.750   0.2087   0.00896   0.00208  -0.0056   0.6409   0.1905
   1.000   0.2346   0.00853   0.00195  -0.0052   0.6289   0.2890
   1.250   0.2436   0.00653   0.00196  -0.0011   0.6171   0.8812
   1.500   0.3014   0.00667   0.00213  -0.0068   0.5921   0.9716
   1.750   0.3500   0.00690   0.00218  -0.0110   0.5534   0.9877
   2.000   0.3962   0.00764   0.00227  -0.0152   0.3990   0.9962
   2.250   0.4364   0.00861   0.00261  -0.0186   0.2758   1.0000
   2.500   0.4623   0.00892   0.00275  -0.0184   0.2476   1.0000
   2.750   0.4879   0.00917   0.00288  -0.0180   0.2306   1.0000
   3.000   0.5135   0.00937   0.00300  -0.0176   0.2189   1.0000
   3.250   0.5388   0.00958   0.00315  -0.0172   0.2097   1.0000
   3.500   0.5641   0.00979   0.00329  -0.0167   0.2018   1.0000
   3.750   0.5892   0.01000   0.00346  -0.0162   0.1949   1.0000
   4.000   0.6143   0.01018   0.00360  -0.0157   0.1885   1.0000
   4.250   0.6389   0.01047   0.00382  -0.0151   0.1826   1.0000
   4.500   0.6641   0.01062   0.00399  -0.0145   0.1782   1.0000
   4.750   0.6889   0.01084   0.00417  -0.0140   0.1734   1.0000
   5.000   0.7129   0.01118   0.00445  -0.0133   0.1681   1.0000
   5.250   0.7380   0.01133   0.00462  -0.0127   0.1645   1.0000
   5.500   0.7627   0.01154   0.00483  -0.0121   0.1605   1.0000
   5.750   0.7866   0.01185   0.00509  -0.0115   0.1564   1.0000
   6.000   0.8107   0.01215   0.00538  -0.0108   0.1528   1.0000
