  
       XFOIL         Version 6.99
  
 Calculated polar for: RG-12                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0310   0.00608   0.00228  -0.0450   0.9422   0.7364
  -1.750   0.0024   0.00597   0.00220  -0.0458   0.9355   0.7649
  -1.500   0.0331   0.00590   0.00213  -0.0461   0.9258   0.7842
  -1.250   0.0646   0.00585   0.00204  -0.0466   0.9157   0.7999
  -1.000   0.0949   0.00581   0.00198  -0.0468   0.9036   0.8141
  -0.750   0.1237   0.00579   0.00194  -0.0466   0.8895   0.8261
  -0.500   0.1515   0.00579   0.00190  -0.0463   0.8739   0.8364
  -0.250   0.1788   0.00581   0.00186  -0.0458   0.8572   0.8462
   0.000   0.2052   0.00585   0.00184  -0.0452   0.8392   0.8562
   0.250   0.2310   0.00589   0.00184  -0.0445   0.8200   0.8653
   0.500   0.2566   0.00594   0.00183  -0.0438   0.8003   0.8733
   0.750   0.2820   0.00600   0.00183  -0.0430   0.7795   0.8822
   1.000   0.3066   0.00607   0.00184  -0.0420   0.7582   0.8913
   1.250   0.3307   0.00615   0.00186  -0.0410   0.7363   0.9000
   1.500   0.3549   0.00623   0.00188  -0.0400   0.7133   0.9091
   1.750   0.3786   0.00631   0.00191  -0.0389   0.6897   0.9182
   2.000   0.4020   0.00640   0.00194  -0.0377   0.6653   0.9265
   2.250   0.4257   0.00651   0.00198  -0.0367   0.6399   0.9351
   2.500   0.4496   0.00662   0.00202  -0.0357   0.6141   0.9438
   2.750   0.4748   0.00674   0.00207  -0.0351   0.5877   0.9518
   3.000   0.5013   0.00688   0.00213  -0.0348   0.5597   0.9607
   3.250   0.5308   0.00707   0.00224  -0.0352   0.5292   0.9688
   3.500   0.5630   0.00728   0.00234  -0.0363   0.4956   0.9759
   4.000   0.6309   0.00780   0.00262  -0.0394   0.4244   0.9893
   4.250   0.6659   0.00808   0.00281  -0.0412   0.3877   0.9961
   4.500   0.6916   0.00838   0.00299  -0.0412   0.3529   1.0000
   4.750   0.7117   0.00868   0.00317  -0.0400   0.3210   1.0000
   5.000   0.7343   0.00905   0.00340  -0.0392   0.2847   1.0000
   5.250   0.7573   0.00948   0.00367  -0.0385   0.2453   1.0000
   5.500   0.7803   0.00996   0.00397  -0.0379   0.2040   1.0000
   5.750   0.8034   0.01045   0.00431  -0.0373   0.1673   1.0000
   6.000   0.8265   0.01097   0.00467  -0.0366   0.1340   1.0000
