  
       XFOIL         Version 6.99
  
 Calculated polar for: RG 14 10% AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0144   0.00616   0.00200  -0.0449   0.9089   0.6410
  -1.750   0.0100   0.00585   0.00200  -0.0437   0.8968   0.7349
  -1.500   0.0361   0.00578   0.00201  -0.0429   0.8843   0.7856
  -1.250   0.0624   0.00577   0.00200  -0.0421   0.8711   0.8173
  -1.000   0.0884   0.00578   0.00200  -0.0413   0.8572   0.8396
  -0.750   0.1140   0.00581   0.00200  -0.0403   0.8424   0.8578
  -0.500   0.1394   0.00584   0.00199  -0.0394   0.8266   0.8727
  -0.250   0.1644   0.00589   0.00198  -0.0384   0.8094   0.8857
   0.000   0.1890   0.00595   0.00198  -0.0372   0.7907   0.8975
   0.250   0.2130   0.00601   0.00198  -0.0360   0.7710   0.9095
   0.500   0.2371   0.00609   0.00199  -0.0348   0.7526   0.9205
   0.750   0.2614   0.00616   0.00200  -0.0337   0.7334   0.9303
   1.000   0.2865   0.00625   0.00202  -0.0327   0.7133   0.9393
   1.250   0.3120   0.00635   0.00205  -0.0319   0.6925   0.9488
   1.500   0.3394   0.00647   0.00208  -0.0315   0.6707   0.9573
   1.750   0.3707   0.00659   0.00213  -0.0321   0.6489   0.9634
   2.250   0.4378   0.00690   0.00226  -0.0343   0.6006   0.9745
   2.500   0.4765   0.00708   0.00233  -0.0367   0.5744   0.9778
   2.750   0.5111   0.00727   0.00241  -0.0382   0.5448   0.9823
   3.000   0.5465   0.00747   0.00249  -0.0399   0.5127   0.9859
   3.250   0.5828   0.00767   0.00257  -0.0418   0.4809   0.9891
   3.500   0.6169   0.00788   0.00267  -0.0433   0.4499   0.9929
   3.750   0.6513   0.00812   0.00278  -0.0450   0.4172   0.9962
   4.000   0.6859   0.00835   0.00290  -0.0467   0.3856   0.9993
   4.250   0.7078   0.00858   0.00303  -0.0457   0.3555   1.0000
   4.500   0.7242   0.00883   0.00317  -0.0436   0.3258   1.0000
   4.750   0.7398   0.00912   0.00334  -0.0414   0.2947   1.0000
   5.000   0.7557   0.00945   0.00353  -0.0392   0.2619   1.0000
   5.250   0.7722   0.00984   0.00376  -0.0372   0.2264   1.0000
   5.500   0.7903   0.01026   0.00403  -0.0354   0.1941   1.0000
   5.750   0.8098   0.01068   0.00432  -0.0340   0.1694   1.0000
   6.000   0.8310   0.01106   0.00463  -0.0328   0.1525   1.0000
