  
       XFOIL         Version 6.99
  
 Calculated polar for: RG 14A-1.4/7.0 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0857   0.00693   0.00211  -0.0296   0.9761   0.4271
  -1.750  -0.0516   0.00607   0.00198  -0.0313   0.9721   0.6341
  -1.500  -0.0245   0.00551   0.00204  -0.0307   0.9654   0.8174
  -1.250   0.0084   0.00534   0.00198  -0.0313   0.9602   0.8773
  -1.000   0.0382   0.00524   0.00190  -0.0312   0.9517   0.9070
  -0.750   0.0692   0.00516   0.00183  -0.0312   0.9432   0.9332
  -0.500   0.1033   0.00510   0.00175  -0.0321   0.9333   0.9502
  -0.250   0.1390   0.00507   0.00167  -0.0334   0.9208   0.9630
   0.000   0.1769   0.00507   0.00161  -0.0353   0.9059   0.9733
   0.250   0.2167   0.00508   0.00155  -0.0376   0.8873   0.9802
   0.500   0.2576   0.00511   0.00150  -0.0402   0.8647   0.9856
   0.750   0.2973   0.00516   0.00144  -0.0426   0.8384   0.9909
   1.000   0.3358   0.00524   0.00140  -0.0449   0.8089   0.9965
   1.250   0.3689   0.00532   0.00136  -0.0460   0.7767   1.0000
   1.500   0.3897   0.00544   0.00135  -0.0445   0.7480   1.0000
   1.750   0.4105   0.00556   0.00136  -0.0431   0.7194   1.0000
   2.000   0.4315   0.00567   0.00139  -0.0417   0.6843   1.0000
   2.250   0.4522   0.00585   0.00141  -0.0402   0.6465   1.0000
   2.500   0.4735   0.00605   0.00151  -0.0388   0.6099   1.0000
   2.750   0.4952   0.00628   0.00159  -0.0376   0.5691   1.0000
   3.000   0.5170   0.00655   0.00170  -0.0364   0.5243   1.0000
   3.250   0.5388   0.00690   0.00183  -0.0352   0.4678   1.0000
   3.500   0.5611   0.00728   0.00199  -0.0343   0.4104   1.0000
   3.750   0.5839   0.00770   0.00221  -0.0334   0.3518   1.0000
   4.250   0.6305   0.00860   0.00269  -0.0320   0.2416   1.0000
   4.500   0.6536   0.00915   0.00300  -0.0314   0.1828   1.0000
   4.750   0.6763   0.00979   0.00336  -0.0307   0.1216   1.0000
   5.000   0.6985   0.01056   0.00383  -0.0299   0.0630   1.0000
   5.250   0.7205   0.01147   0.00458  -0.0289   0.0303   1.0000
   5.500   0.7452   0.01194   0.00518  -0.0283   0.0269   1.0000
   5.750   0.7690   0.01256   0.00588  -0.0275   0.0236   1.0000
   6.000   0.7881   0.01399   0.00746  -0.0259   0.0197   1.0000
