  
       XFOIL         Version 6.99
  
 Calculated polar for: RG-15 8.9%                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0345   0.00621   0.00216  -0.0611   0.9416   0.6535
  -1.750   0.0679   0.00601   0.00207  -0.0620   0.9350   0.7021
  -1.500   0.0985   0.00590   0.00197  -0.0623   0.9249   0.7270
  -1.250   0.1293   0.00581   0.00189  -0.0626   0.9142   0.7523
  -1.000   0.1593   0.00574   0.00182  -0.0628   0.9017   0.7711
  -0.750   0.1882   0.00571   0.00176  -0.0627   0.8876   0.7873
  -0.500   0.2160   0.00568   0.00171  -0.0624   0.8720   0.8026
  -0.250   0.2432   0.00568   0.00167  -0.0619   0.8556   0.8172
   0.000   0.2693   0.00569   0.00166  -0.0613   0.8371   0.8313
   0.250   0.2953   0.00571   0.00164  -0.0606   0.8181   0.8452
   0.500   0.3207   0.00575   0.00164  -0.0598   0.7984   0.8591
   0.750   0.3456   0.00579   0.00164  -0.0588   0.7780   0.8740
   1.000   0.3699   0.00584   0.00166  -0.0578   0.7567   0.8900
   1.250   0.3935   0.00590   0.00167  -0.0566   0.7351   0.9072
   1.500   0.4161   0.00595   0.00169  -0.0552   0.7125   0.9261
   1.750   0.4403   0.00601   0.00170  -0.0541   0.6890   0.9478
   2.000   0.4715   0.00610   0.00173  -0.0547   0.6635   0.9673
   2.500   0.5454   0.00640   0.00181  -0.0588   0.6059   0.9999
   2.750   0.5684   0.00658   0.00189  -0.0579   0.5784   1.0000
   3.000   0.5930   0.00679   0.00199  -0.0574   0.5498   1.0000
   3.250   0.6178   0.00701   0.00209  -0.0568   0.5192   1.0000
   3.500   0.6427   0.00725   0.00222  -0.0563   0.4887   1.0000
   3.750   0.6677   0.00751   0.00238  -0.0558   0.4582   1.0000
   4.000   0.6927   0.00778   0.00255  -0.0554   0.4266   1.0000
   4.250   0.7175   0.00809   0.00273  -0.0549   0.3940   1.0000
   4.500   0.7423   0.00840   0.00293  -0.0544   0.3598   1.0000
   4.750   0.7665   0.00879   0.00316  -0.0539   0.3199   1.0000
   5.000   0.7910   0.00918   0.00343  -0.0534   0.2848   1.0000
   5.250   0.8153   0.00958   0.00371  -0.0529   0.2512   1.0000
   5.500   0.8394   0.01003   0.00402  -0.0523   0.2148   1.0000
   5.750   0.8630   0.01053   0.00436  -0.0517   0.1781   1.0000
   6.000   0.8860   0.01110   0.00475  -0.0511   0.1404   1.0000
