  
       XFOIL         Version 6.99
  
 Calculated polar for: RG 15A-1.8/11.0 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0558   0.00631   0.00204  -0.0630   0.8762   0.6642
  -1.750   0.0835   0.00629   0.00201  -0.0627   0.8634   0.6877
  -1.500   0.1109   0.00629   0.00197  -0.0623   0.8502   0.7060
  -1.250   0.1380   0.00630   0.00194  -0.0619   0.8362   0.7216
  -1.000   0.1650   0.00632   0.00192  -0.0615   0.8218   0.7355
  -0.750   0.1917   0.00635   0.00191  -0.0610   0.8073   0.7484
  -0.500   0.2184   0.00638   0.00191  -0.0605   0.7926   0.7604
  -0.250   0.2450   0.00641   0.00190  -0.0600   0.7775   0.7716
   0.000   0.2716   0.00646   0.00190  -0.0596   0.7620   0.7825
   0.250   0.2981   0.00651   0.00191  -0.0591   0.7463   0.7934
   0.500   0.3242   0.00656   0.00193  -0.0585   0.7303   0.8032
   0.750   0.3503   0.00661   0.00195  -0.0579   0.7139   0.8130
   1.000   0.3764   0.00668   0.00197  -0.0574   0.6969   0.8235
   1.250   0.4021   0.00674   0.00201  -0.0568   0.6789   0.8341
   1.500   0.4275   0.00681   0.00205  -0.0561   0.6608   0.8443
   1.750   0.4526   0.00689   0.00209  -0.0554   0.6421   0.8550
   2.000   0.4778   0.00697   0.00214  -0.0546   0.6224   0.8663
   2.250   0.5023   0.00707   0.00220  -0.0538   0.6023   0.8781
   3.000   0.5730   0.00736   0.00241  -0.0506   0.5394   0.9190
   3.250   0.5958   0.00747   0.00250  -0.0494   0.5174   0.9354
   3.500   0.6220   0.00761   0.00259  -0.0489   0.4941   0.9536
   3.750   0.6544   0.00780   0.00270  -0.0500   0.4676   0.9712
   4.000   0.6913   0.00805   0.00285  -0.0521   0.4384   0.9867
   4.250   0.7254   0.00830   0.00299  -0.0538   0.4112   1.0000
   4.500   0.7486   0.00853   0.00314  -0.0530   0.3889   1.0000
   5.000   0.7968   0.00907   0.00351  -0.0519   0.3428   1.0000
   5.250   0.8210   0.00937   0.00372  -0.0513   0.3193   1.0000
   5.500   0.8450   0.00969   0.00395  -0.0508   0.2954   1.0000
   5.750   0.8685   0.01007   0.00421  -0.0501   0.2674   1.0000
   6.000   0.8920   0.01046   0.00449  -0.0495   0.2411   1.0000
