  
       XFOIL         Version 6.99
  
 Calculated polar for: RG 8 AIRFOIL                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1335   0.00682   0.00241  -0.0899   0.9238   0.5987
  -1.750   0.1655   0.00672   0.00230  -0.0906   0.9152   0.6131
  -1.500   0.2021   0.00661   0.00218  -0.0923   0.9081   0.6259
  -1.250   0.2344   0.00654   0.00209  -0.0930   0.8974   0.6383
  -1.000   0.2660   0.00649   0.00202  -0.0936   0.8852   0.6500
  -0.750   0.2970   0.00648   0.00196  -0.0941   0.8719   0.6613
  -0.500   0.3268   0.00646   0.00192  -0.0943   0.8574   0.6713
  -0.250   0.3558   0.00647   0.00189  -0.0943   0.8417   0.6809
   0.000   0.3833   0.00650   0.00188  -0.0940   0.8243   0.6910
   0.250   0.4107   0.00655   0.00188  -0.0937   0.8063   0.7016
   0.750   0.4639   0.00666   0.00191  -0.0928   0.7683   0.7208
   1.000   0.4900   0.00674   0.00194  -0.0923   0.7482   0.7313
   1.250   0.5159   0.00683   0.00198  -0.0917   0.7274   0.7417
   1.750   0.5667   0.00702   0.00209  -0.0904   0.6841   0.7611
   2.000   0.5920   0.00713   0.00216  -0.0898   0.6618   0.7717
   2.250   0.6168   0.00726   0.00224  -0.0890   0.6388   0.7830
   2.500   0.6415   0.00738   0.00233  -0.0883   0.6149   0.7949
   2.750   0.6659   0.00751   0.00244  -0.0875   0.5911   0.8081
   3.000   0.6899   0.00766   0.00255  -0.0866   0.5671   0.8230
   3.250   0.7134   0.00781   0.00267  -0.0856   0.5422   0.8400
   3.500   0.7362   0.00795   0.00280  -0.0844   0.5172   0.8596
   3.750   0.7577   0.00809   0.00295  -0.0830   0.4919   0.8840
   4.000   0.7766   0.00820   0.00307  -0.0809   0.4668   0.9196
   4.250   0.8050   0.00834   0.00317  -0.0810   0.4390   1.0000
   4.500   0.8306   0.00863   0.00335  -0.0807   0.4121   1.0000
   4.750   0.8557   0.00894   0.00356  -0.0803   0.3851   1.0000
   5.000   0.8803   0.00927   0.00378  -0.0798   0.3571   1.0000
   5.250   0.9042   0.00965   0.00403  -0.0792   0.3261   1.0000
   5.500   0.9284   0.01001   0.00428  -0.0786   0.2990   1.0000
   6.000   0.9757   0.01083   0.00489  -0.0774   0.2421   1.0000
