  
       XFOIL         Version 6.99
  
 Calculated polar for: Rhode St. Genese 32                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3519   0.01138   0.00282  -0.0724   0.3704   0.0768
  -1.750   0.3765   0.01140   0.00277  -0.0716   0.3638   0.0796
  -1.500   0.4020   0.01134   0.00273  -0.0711   0.3596   0.0850
  -1.250   0.4272   0.01131   0.00272  -0.0705   0.3555   0.0963
  -1.000   0.4515   0.01123   0.00282  -0.0698   0.3520   0.1615
  -0.750   0.4752   0.01118   0.00291  -0.0691   0.3480   0.2150
  -0.500   0.4962   0.01060   0.00299  -0.0681   0.3454   0.4373
  -0.250   0.5089   0.00974   0.00312  -0.0650   0.3432   0.7476
   0.000   0.5935   0.00963   0.00344  -0.0768   0.3384   0.9824
   0.250   0.6477   0.00990   0.00359  -0.0826   0.3346   1.0000
   0.500   0.6691   0.01011   0.00374  -0.0814   0.3321   1.0000
   0.750   0.6923   0.01020   0.00381  -0.0804   0.3304   1.0000
   1.000   0.7154   0.01032   0.00391  -0.0795   0.3286   1.0000
   1.250   0.7385   0.01045   0.00402  -0.0785   0.3269   1.0000
   1.500   0.7616   0.01059   0.00415  -0.0776   0.3253   1.0000
   1.750   0.7848   0.01074   0.00428  -0.0767   0.3237   1.0000
   2.000   0.8079   0.01090   0.00441  -0.0758   0.3219   1.0000
   2.250   0.8309   0.01110   0.00456  -0.0749   0.3196   1.0000
   2.500   0.8538   0.01135   0.00477  -0.0740   0.3174   1.0000
   2.750   0.8773   0.01157   0.00498  -0.0733   0.3157   1.0000
   3.000   0.9012   0.01169   0.00512  -0.0725   0.3145   1.0000
   3.250   0.9248   0.01178   0.00524  -0.0718   0.3120   1.0000
   3.500   0.9483   0.01190   0.00537  -0.0710   0.3092   1.0000
   3.750   0.9718   0.01205   0.00552  -0.0702   0.3070   1.0000
   4.000   0.9951   0.01221   0.00569  -0.0695   0.3047   1.0000
   4.250   1.0181   0.01245   0.00589  -0.0687   0.3019   1.0000
   4.500   1.0416   0.01270   0.00614  -0.0681   0.2994   1.0000
   4.750   1.0650   0.01276   0.00627  -0.0673   0.2971   1.0000
   5.000   1.0882   0.01286   0.00641  -0.0666   0.2942   1.0000
   5.250   1.1111   0.01295   0.00654  -0.0658   0.2906   1.0000
   5.500   1.1336   0.01311   0.00670  -0.0650   0.2874   1.0000
   5.750   1.1556   0.01337   0.00695  -0.0642   0.2840   1.0000
   6.000   1.1787   0.01341   0.00708  -0.0634   0.2808   1.0000
