  
       XFOIL         Version 6.99
  
 Calculated polar for: S1010 HPV airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2730   0.00723   0.00166   0.0090   1.0000   0.2993
  -1.750  -0.2511   0.00686   0.00159   0.0100   1.0000   0.3810
  -1.500  -0.2300   0.00628   0.00155   0.0110   0.9998   0.5198
  -1.250  -0.1873   0.00531   0.00160   0.0079   0.9909   0.7768
  -1.000  -0.1484   0.00512   0.00164   0.0060   0.9846   0.8544
  -0.750  -0.1123   0.00504   0.00166   0.0047   0.9779   0.8945
  -0.500  -0.0737   0.00501   0.00169   0.0029   0.9724   0.9218
  -0.250  -0.0379   0.00500   0.00170   0.0017   0.9643   0.9414
   0.000  -0.0000   0.00500   0.00171   0.0000   0.9546   0.9548
   0.250   0.0379   0.00500   0.00170  -0.0017   0.9414   0.9643
   0.500   0.0738   0.00501   0.00169  -0.0029   0.9222   0.9724
   0.750   0.1123   0.00504   0.00166  -0.0047   0.8945   0.9778
   1.000   0.1486   0.00513   0.00164  -0.0060   0.8541   0.9846
   1.250   0.1874   0.00532   0.00160  -0.0079   0.7767   0.9909
   1.500   0.2303   0.00629   0.00155  -0.0111   0.5180   0.9999
   1.750   0.2512   0.00686   0.00159  -0.0100   0.3806   1.0000
   2.000   0.2730   0.00723   0.00166  -0.0090   0.2992   1.0000
   2.250   0.2953   0.00754   0.00174  -0.0081   0.2448   1.0000
   2.500   0.3178   0.00780   0.00185  -0.0071   0.2056   1.0000
   2.750   0.3406   0.00804   0.00197  -0.0062   0.1763   1.0000
   3.000   0.3636   0.00828   0.00211  -0.0052   0.1547   1.0000
   3.250   0.3871   0.00850   0.00230  -0.0043   0.1374   1.0000
   3.500   0.4106   0.00873   0.00247  -0.0035   0.1197   1.0000
   3.750   0.4341   0.00900   0.00265  -0.0026   0.1028   1.0000
   4.000   0.4581   0.00925   0.00286  -0.0018   0.0899   1.0000
   4.250   0.4823   0.00949   0.00308  -0.0011   0.0795   1.0000
   4.500   0.5066   0.00974   0.00333  -0.0003   0.0699   1.0000
   4.750   0.5308   0.01004   0.00365   0.0004   0.0601   1.0000
   5.000   0.5550   0.01040   0.00400   0.0012   0.0487   1.0000
   5.250   0.5789   0.01091   0.00450   0.0020   0.0385   1.0000
   5.500   0.6018   0.01172   0.00531   0.0030   0.0314   1.0000
   5.750   0.6267   0.01208   0.00575   0.0037   0.0287   1.0000
   6.000   0.6514   0.01249   0.00620   0.0043   0.0256   1.0000
