  
       XFOIL         Version 6.99
  
 Calculated polar for: S1046 17% (Danny Howell)                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2211   0.00884   0.00265  -0.0011   0.6451   0.4760
  -1.750  -0.1936   0.00880   0.00259  -0.0009   0.6350   0.4861
  -1.250  -0.1383   0.00870   0.00250  -0.0007   0.6141   0.5072
  -1.000  -0.1108   0.00867   0.00245  -0.0005   0.6038   0.5175
  -0.750  -0.0829   0.00864   0.00243  -0.0004   0.5926   0.5283
  -0.500  -0.0553   0.00862   0.00241  -0.0003   0.5820   0.5392
  -0.250  -0.0278   0.00861   0.00239  -0.0001   0.5716   0.5495
   0.000   0.0000   0.00860   0.00239  -0.0000   0.5604   0.5604
   0.250   0.0278   0.00861   0.00239   0.0001   0.5496   0.5716
   0.500   0.0553   0.00862   0.00241   0.0003   0.5392   0.5820
   0.750   0.0829   0.00864   0.00243   0.0004   0.5284   0.5927
   1.000   0.1108   0.00867   0.00245   0.0005   0.5175   0.6037
   1.250   0.1383   0.00870   0.00250   0.0007   0.5073   0.6142
   1.750   0.1936   0.00880   0.00259   0.0009   0.4861   0.6350
   2.000   0.2211   0.00884   0.00265   0.0011   0.4759   0.6451
   2.250   0.2484   0.00891   0.00271   0.0013   0.4659   0.6549
   2.500   0.2762   0.00897   0.00277   0.0014   0.4553   0.6654
   2.750   0.3035   0.00902   0.00286   0.0016   0.4454   0.6750
   3.000   0.3306   0.00911   0.00293   0.0018   0.4356   0.6847
   3.250   0.3581   0.00918   0.00302   0.0019   0.4252   0.6949
   3.500   0.3852   0.00925   0.00312   0.0021   0.4158   0.7044
   4.000   0.4394   0.00943   0.00333   0.0026   0.3963   0.7244
   4.250   0.4662   0.00952   0.00345   0.0028   0.3874   0.7338
   4.500   0.4929   0.00964   0.00356   0.0031   0.3780   0.7442
   4.750   0.5197   0.00972   0.00370   0.0034   0.3687   0.7544
   5.000   0.5459   0.00985   0.00384   0.0037   0.3599   0.7647
   5.250   0.5725   0.00995   0.00398   0.0040   0.3506   0.7757
   5.500   0.5986   0.01007   0.00414   0.0044   0.3419   0.7873
   5.750   0.6241   0.01020   0.00430   0.0049   0.3329   0.7989
   6.000   0.6501   0.01030   0.00446   0.0053   0.3241   0.8114
