  
       XFOIL         Version 6.99
  
 Calculated polar for: S1210 12%                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.8444   0.01002   0.00353  -0.2490   0.6048   0.2635
  -1.750   0.8713   0.01025   0.00367  -0.2486   0.5930   0.2798
  -1.500   0.8992   0.01041   0.00377  -0.2484   0.5827   0.2917
  -1.250   0.9269   0.01060   0.00385  -0.2482   0.5736   0.2996
  -1.000   0.9554   0.01070   0.00392  -0.2482   0.5647   0.3069
  -0.750   0.9838   0.01082   0.00398  -0.2482   0.5569   0.3121
  -0.500   1.0121   0.01095   0.00402  -0.2481   0.5491   0.3161
  -0.250   1.0412   0.01103   0.00407  -0.2483   0.5425   0.3202
   0.000   1.0699   0.01111   0.00414  -0.2483   0.5360   0.3245
   0.250   1.0982   0.01128   0.00422  -0.2483   0.5301   0.3294
   0.500   1.1271   0.01135   0.00430  -0.2484   0.5244   0.3344
   0.750   1.1558   0.01146   0.00441  -0.2485   0.5190   0.3405
   1.000   1.1841   0.01166   0.00453  -0.2484   0.5140   0.3474
   1.250   1.2131   0.01171   0.00465  -0.2486   0.5091   0.3546
   1.500   1.2413   0.01183   0.00476  -0.2485   0.5042   0.3630
   2.000   1.2978   0.01208   0.00504  -0.2485   0.4929   0.3832
   2.250   1.3256   0.01221   0.00517  -0.2484   0.4871   0.3961
   2.750   1.3823   0.01248   0.00553  -0.2485   0.4784   0.4282
   3.000   1.4105   0.01260   0.00571  -0.2485   0.4737   0.4481
   3.250   1.4381   0.01281   0.00591  -0.2484   0.4683   0.4704
   3.500   1.4659   0.01289   0.00610  -0.2484   0.4629   0.4951
   3.750   1.4934   0.01301   0.00629  -0.2482   0.4574   0.5233
   4.000   1.5206   0.01322   0.00652  -0.2481   0.4517   0.5547
   4.250   1.5481   0.01328   0.00673  -0.2479   0.4456   0.5904
   4.500   1.5751   0.01345   0.00696  -0.2477   0.4397   0.6320
   4.750   1.6024   0.01360   0.00723  -0.2476   0.4345   0.6815
   5.000   1.6296   0.01368   0.00749  -0.2474   0.4288   0.7435
   5.250   1.6543   0.01381   0.00775  -0.2466   0.4237   0.8283
   5.500   1.6694   0.01376   0.00785  -0.2437   0.4188   1.0000
   5.750   1.6952   0.01395   0.00806  -0.2433   0.4122   1.0000
   6.000   1.7200   0.01423   0.00831  -0.2426   0.4055   1.0000
