  
       XFOIL         Version 6.99
  
 Calculated polar for: S1223 RTL                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.8457   0.01553   0.00741  -0.2386   0.3476   0.0314
  -1.750   0.8805   0.01534   0.00719  -0.2400   0.3448   0.0340
  -1.500   0.9136   0.01525   0.00706  -0.2409   0.3419   0.0366
  -1.250   0.9483   0.01515   0.00691  -0.2423   0.3389   0.0401
  -1.000   0.9811   0.01517   0.00686  -0.2433   0.3357   0.0459
  -0.750   1.0147   0.01530   0.00691  -0.2445   0.3320   0.0565
  -0.500   1.0569   0.01494   0.00692  -0.2478   0.3302   0.1923
  -0.250   1.0865   0.01501   0.00707  -0.2480   0.3282   0.2511
   0.000   1.1146   0.01514   0.00723  -0.2480   0.3261   0.2798
   0.250   1.1421   0.01530   0.00738  -0.2477   0.3239   0.3020
   0.500   1.1693   0.01547   0.00753  -0.2474   0.3218   0.3219
   0.750   1.1960   0.01568   0.00772  -0.2470   0.3195   0.3443
   1.000   1.2228   0.01597   0.00797  -0.2467   0.3169   0.3674
   1.250   1.2511   0.01629   0.00826  -0.2467   0.3143   0.3828
   1.500   1.2780   0.01642   0.00843  -0.2463   0.3130   0.3967
   1.750   1.3047   0.01658   0.00861  -0.2459   0.3114   0.4105
   2.000   1.3311   0.01677   0.00880  -0.2455   0.3096   0.4247
   2.500   1.3836   0.01718   0.00922  -0.2446   0.3060   0.4544
   2.750   1.4096   0.01739   0.00944  -0.2442   0.3042   0.4684
   3.000   1.4355   0.01764   0.00968  -0.2437   0.3024   0.4826
   3.250   1.4621   0.01796   0.00997  -0.2434   0.3002   0.4977
   3.500   1.4910   0.01838   0.01038  -0.2436   0.2978   0.5137
   3.750   1.5158   0.01857   0.01061  -0.2429   0.2967   0.5288
   4.000   1.5409   0.01878   0.01088  -0.2423   0.2954   0.5441
   4.250   1.5661   0.01901   0.01116  -0.2418   0.2939   0.5612
   4.500   1.5913   0.01925   0.01145  -0.2412   0.2923   0.5794
   4.750   1.6166   0.01950   0.01174  -0.2407   0.2907   0.5986
   5.000   1.6417   0.01975   0.01205  -0.2401   0.2891   0.6210
   5.250   1.6668   0.02001   0.01236  -0.2396   0.2875   0.6503
   5.500   1.6930   0.02028   0.01272  -0.2394   0.2858   0.6947
   5.750   1.7113   0.02029   0.01302  -0.2374   0.2841   1.0000
   6.000   1.7405   0.02084   0.01351  -0.2378   0.2819   1.0000
