  
       XFOIL         Version 6.99
  
 Calculated polar for: S2050 8.93%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0262   0.00640   0.00230  -0.0522   0.9648   0.6390
  -1.750   0.0138   0.00627   0.00222  -0.0545   0.9607   0.6742
  -1.500   0.0462   0.00613   0.00212  -0.0552   0.9511   0.6946
  -1.250   0.0803   0.00602   0.00202  -0.0562   0.9417   0.7133
  -1.000   0.1160   0.00591   0.00192  -0.0576   0.9310   0.7289
  -0.750   0.1518   0.00583   0.00183  -0.0589   0.9170   0.7443
  -0.500   0.1867   0.00576   0.00175  -0.0601   0.8981   0.7568
  -0.250   0.2181   0.00576   0.00170  -0.0605   0.8737   0.7676
   0.000   0.2467   0.00581   0.00167  -0.0603   0.8462   0.7775
   0.250   0.2738   0.00590   0.00167  -0.0598   0.8181   0.7878
   0.500   0.3000   0.00601   0.00169  -0.0591   0.7907   0.7990
   0.750   0.3257   0.00611   0.00173  -0.0584   0.7644   0.8093
   1.000   0.3515   0.00622   0.00177  -0.0577   0.7388   0.8187
   1.250   0.3774   0.00634   0.00181  -0.0570   0.7132   0.8287
   1.500   0.4030   0.00645   0.00186  -0.0564   0.6872   0.8383
   1.750   0.4284   0.00656   0.00192  -0.0557   0.6597   0.8468
   2.000   0.4541   0.00669   0.00197  -0.0551   0.6302   0.8558
   2.250   0.4792   0.00683   0.00204  -0.0544   0.5990   0.8646
   2.500   0.5039   0.00699   0.00212  -0.0536   0.5673   0.8740
   2.750   0.5286   0.00715   0.00221  -0.0528   0.5352   0.8847
   3.000   0.5530   0.00732   0.00231  -0.0519   0.5026   0.8961
   3.250   0.5765   0.00751   0.00241  -0.0510   0.4691   0.9085
   3.500   0.5987   0.00771   0.00253  -0.0497   0.4310   0.9231
   3.750   0.6200   0.00788   0.00263  -0.0481   0.3960   0.9433
   4.000   0.6472   0.00810   0.00275  -0.0480   0.3601   0.9721
   4.250   0.6785   0.00844   0.00294  -0.0491   0.3175   1.0000
   4.500   0.7056   0.00884   0.00316  -0.0492   0.2772   1.0000
   4.750   0.7319   0.00927   0.00341  -0.0492   0.2363   1.0000
   5.000   0.7576   0.00975   0.00369  -0.0491   0.1940   1.0000
   5.250   0.7832   0.01024   0.00401  -0.0489   0.1578   1.0000
   5.500   0.8088   0.01070   0.00434  -0.0487   0.1278   1.0000
   5.750   0.8341   0.01118   0.00470  -0.0484   0.1011   1.0000
   6.000   0.8591   0.01170   0.00510  -0.0481   0.0772   1.0000
