  
       XFOIL         Version 6.99
  
 Calculated polar for: SELIG 3002-099-83                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1915   0.00793   0.00223  -0.0874   0.8229   0.2187
  -1.750   0.2188   0.00725   0.00208  -0.0877   0.8150   0.3951
  -1.500   0.2455   0.00661   0.00204  -0.0877   0.8057   0.5874
  -1.250   0.2720   0.00647   0.00213  -0.0871   0.7971   0.6849
  -1.000   0.2990   0.00651   0.00218  -0.0866   0.7879   0.7282
  -0.750   0.3265   0.00655   0.00220  -0.0862   0.7779   0.7520
  -0.500   0.3533   0.00660   0.00224  -0.0856   0.7682   0.7723
  -0.250   0.3802   0.00666   0.00225  -0.0850   0.7579   0.7888
   0.000   0.4075   0.00668   0.00224  -0.0846   0.7463   0.7991
   0.250   0.4349   0.00671   0.00223  -0.0843   0.7345   0.8092
   0.500   0.4616   0.00675   0.00224  -0.0837   0.7221   0.8223
   0.750   0.4877   0.00679   0.00225  -0.0831   0.7087   0.8352
   1.000   0.5137   0.00681   0.00225  -0.0824   0.6941   0.8457
   1.250   0.5402   0.00685   0.00225  -0.0819   0.6783   0.8545
   1.500   0.5671   0.00691   0.00225  -0.0815   0.6611   0.8619
   1.750   0.5936   0.00698   0.00225  -0.0811   0.6429   0.8678
   2.000   0.6203   0.00705   0.00227  -0.0807   0.6229   0.8741
   2.250   0.6468   0.00716   0.00230  -0.0804   0.6010   0.8802
   2.500   0.6728   0.00727   0.00234  -0.0799   0.5777   0.8866
   2.750   0.6987   0.00743   0.00240  -0.0794   0.5531   0.8936
   3.250   0.7486   0.00775   0.00257  -0.0782   0.5002   0.9103
   3.500   0.7727   0.00792   0.00267  -0.0774   0.4735   0.9223
   3.750   0.7962   0.00808   0.00278  -0.0764   0.4481   0.9424
   4.000   0.8268   0.00829   0.00290  -0.0771   0.4216   1.0000
   4.250   0.8545   0.00861   0.00309  -0.0774   0.3968   1.0000
   4.500   0.8820   0.00891   0.00329  -0.0775   0.3730   1.0000
   4.750   0.9090   0.00922   0.00350  -0.0776   0.3513   1.0000
   5.000   0.9358   0.00953   0.00372  -0.0776   0.3299   1.0000
   5.250   0.9621   0.00987   0.00396  -0.0775   0.3093   1.0000
   5.500   0.9884   0.01019   0.00421  -0.0774   0.2892   1.0000
   5.750   1.0141   0.01055   0.00447  -0.0772   0.2698   1.0000
   6.000   1.0398   0.01089   0.00475  -0.0770   0.2507   1.0000
