  
       XFOIL         Version 6.99
  
 Calculated polar for: S3014-095-85                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0274   0.00886   0.00234  -0.0445   0.8136   0.0907
  -1.750   0.0530   0.00833   0.00218  -0.0442   0.8056   0.1927
  -1.500   0.0777   0.00779   0.00205  -0.0438   0.7983   0.3202
  -1.250   0.1026   0.00732   0.00195  -0.0433   0.7894   0.4391
  -1.000   0.1269   0.00688   0.00188  -0.0426   0.7804   0.5603
  -0.750   0.1478   0.00631   0.00185  -0.0409   0.7719   0.7244
  -0.500   0.1701   0.00583   0.00187  -0.0390   0.7621   0.8788
  -0.250   0.2319   0.00577   0.00185  -0.0458   0.7517   0.9683
   0.000   0.2865   0.00582   0.00180  -0.0514   0.7412   0.9949
   0.250   0.3243   0.00581   0.00170  -0.0535   0.7299   1.0000
   0.500   0.3493   0.00584   0.00165  -0.0528   0.7183   1.0000
   0.750   0.3746   0.00588   0.00160  -0.0522   0.7056   1.0000
   1.000   0.3999   0.00592   0.00157  -0.0516   0.6922   1.0000
   1.250   0.4254   0.00598   0.00156  -0.0511   0.6781   1.0000
   1.500   0.4510   0.00605   0.00156  -0.0505   0.6631   1.0000
   1.750   0.4765   0.00613   0.00157  -0.0500   0.6472   1.0000
   2.000   0.5020   0.00623   0.00159  -0.0494   0.6303   1.0000
   2.250   0.5274   0.00635   0.00163  -0.0489   0.6126   1.0000
   2.500   0.5529   0.00647   0.00169  -0.0484   0.5936   1.0000
   3.000   0.6036   0.00678   0.00183  -0.0473   0.5524   1.0000
   3.250   0.6287   0.00696   0.00192  -0.0467   0.5302   1.0000
   3.500   0.6537   0.00716   0.00204  -0.0462   0.5068   1.0000
   3.750   0.6786   0.00738   0.00216  -0.0456   0.4815   1.0000
   4.000   0.7033   0.00762   0.00231  -0.0450   0.4554   1.0000
   4.250   0.7277   0.00789   0.00248  -0.0444   0.4276   1.0000
   4.500   0.7520   0.00818   0.00266  -0.0438   0.3999   1.0000
   4.750   0.7762   0.00849   0.00286  -0.0432   0.3716   1.0000
   5.000   0.8003   0.00881   0.00308  -0.0426   0.3443   1.0000
   5.250   0.8242   0.00916   0.00332  -0.0420   0.3185   1.0000
   5.500   0.8482   0.00949   0.00359  -0.0414   0.2961   1.0000
   5.750   0.8723   0.00982   0.00385  -0.0409   0.2754   1.0000
   6.000   0.8962   0.01018   0.00414  -0.0403   0.2559   1.0000
