  
       XFOIL         Version 6.99
  
 Calculated polar for: S4053                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1360   0.00895   0.00228  -0.0749   0.8108   0.0259
  -1.500   0.1861   0.00791   0.00178  -0.0740   0.7921   0.2159
  -1.250   0.2081   0.00707   0.00174  -0.0733   0.7832   0.4659
  -1.000   0.2296   0.00650   0.00174  -0.0720   0.7750   0.6556
  -0.750   0.2486   0.00599   0.00179  -0.0697   0.7663   0.8289
  -0.500   0.2952   0.00585   0.00182  -0.0731   0.7589   0.9559
  -0.250   0.3556   0.00590   0.00176  -0.0800   0.7510   0.9932
   0.000   0.3965   0.00592   0.00169  -0.0829   0.7421   1.0000
   0.250   0.4206   0.00598   0.00166  -0.0821   0.7333   1.0000
   0.500   0.4450   0.00604   0.00164  -0.0813   0.7242   1.0000
   0.750   0.4695   0.00609   0.00164  -0.0806   0.7151   1.0000
   1.000   0.4942   0.00616   0.00165  -0.0799   0.7065   1.0000
   1.250   0.5189   0.00623   0.00166  -0.0792   0.6976   1.0000
   1.500   0.5437   0.00629   0.00169  -0.0785   0.6879   1.0000
   1.750   0.5685   0.00637   0.00172  -0.0778   0.6780   1.0000
   2.000   0.5933   0.00646   0.00176  -0.0771   0.6682   1.0000
   2.250   0.6180   0.00654   0.00180  -0.0764   0.6577   1.0000
   2.500   0.6429   0.00661   0.00187  -0.0758   0.6468   1.0000
   2.750   0.6677   0.00670   0.00193  -0.0751   0.6353   1.0000
   3.000   0.6923   0.00679   0.00199  -0.0743   0.6223   1.0000
   3.250   0.7168   0.00689   0.00206  -0.0736   0.6076   1.0000
   3.500   0.7411   0.00701   0.00215  -0.0728   0.5920   1.0000
   3.750   0.7655   0.00713   0.00225  -0.0721   0.5741   1.0000
   4.000   0.7896   0.00728   0.00235  -0.0713   0.5544   1.0000
   4.250   0.8134   0.00746   0.00247  -0.0704   0.5306   1.0000
   4.500   0.8364   0.00769   0.00262  -0.0694   0.5013   1.0000
   4.750   0.8588   0.00799   0.00280  -0.0684   0.4657   1.0000
   5.000   0.8803   0.00837   0.00301  -0.0672   0.4250   1.0000
   5.250   0.9012   0.00882   0.00328  -0.0660   0.3808   1.0000
   5.500   0.9220   0.00932   0.00358  -0.0648   0.3347   1.0000
   5.750   0.9427   0.00984   0.00394  -0.0637   0.2927   1.0000
   6.000   0.9634   0.01038   0.00431  -0.0625   0.2523   1.0000
