  
       XFOIL         Version 6.99
  
 Calculated polar for: S6062 8%                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0374   0.00669   0.00180  -0.0394   0.8986   0.4458
  -1.750  -0.0138   0.00620   0.00171  -0.0386   0.8880   0.5708
  -1.500   0.0071   0.00564   0.00172  -0.0368   0.8774   0.7373
  -1.250   0.0293   0.00543   0.00172  -0.0351   0.8669   0.8211
  -1.000   0.0533   0.00535   0.00168  -0.0338   0.8557   0.8609
  -0.750   0.0773   0.00531   0.00165  -0.0325   0.8440   0.8953
  -0.500   0.1020   0.00528   0.00162  -0.0313   0.8322   0.9255
  -0.250   0.1307   0.00528   0.00157  -0.0311   0.8202   0.9504
   0.000   0.1653   0.00529   0.00152  -0.0323   0.8079   0.9688
   0.250   0.2033   0.00531   0.00146  -0.0343   0.7947   0.9822
   0.500   0.2446   0.00532   0.00140  -0.0371   0.7803   0.9915
   0.750   0.2849   0.00535   0.00134  -0.0398   0.7647   1.0000
   1.000   0.3083   0.00540   0.00131  -0.0389   0.7485   1.0000
   1.250   0.3325   0.00545   0.00131  -0.0382   0.7312   1.0000
   1.500   0.3569   0.00553   0.00131  -0.0375   0.7133   1.0000
   1.750   0.3817   0.00562   0.00133  -0.0368   0.6950   1.0000
   2.000   0.4068   0.00571   0.00136  -0.0362   0.6750   1.0000
   2.250   0.4322   0.00583   0.00141  -0.0357   0.6542   1.0000
   2.500   0.4576   0.00597   0.00147  -0.0351   0.6313   1.0000
   2.750   0.4833   0.00613   0.00154  -0.0347   0.6046   1.0000
   3.000   0.5084   0.00635   0.00163  -0.0341   0.5645   1.0000
   3.250   0.5334   0.00662   0.00173  -0.0336   0.5178   1.0000
   3.500   0.5577   0.00702   0.00186  -0.0331   0.4537   1.0000
   3.750   0.5821   0.00747   0.00204  -0.0326   0.3882   1.0000
   4.000   0.6064   0.00797   0.00228  -0.0322   0.3222   1.0000
   4.250   0.6308   0.00851   0.00255  -0.0318   0.2585   1.0000
   4.500   0.6543   0.00921   0.00290  -0.0314   0.1827   1.0000
   4.750   0.6770   0.01006   0.00335  -0.0309   0.1005   1.0000
   5.000   0.6989   0.01111   0.00397  -0.0302   0.0268   1.0000
   5.250   0.7244   0.01155   0.00444  -0.0298   0.0211   1.0000
   5.500   0.7499   0.01198   0.00494  -0.0294   0.0192   1.0000
   5.750   0.7748   0.01250   0.00552  -0.0290   0.0180   1.0000
   6.000   0.7988   0.01319   0.00629  -0.0283   0.0169   1.0000
