  
       XFOIL         Version 6.99
  
 Calculated polar for: S7055 (10.5%) Flat-Bottomed                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1441   0.00912   0.00246  -0.0698   0.7677   0.0785
  -1.750   0.1698   0.00875   0.00223  -0.0693   0.7597   0.1236
  -1.500   0.1936   0.00812   0.00210  -0.0689   0.7508   0.2708
  -1.250   0.2174   0.00761   0.00201  -0.0682   0.7425   0.4170
  -1.000   0.2394   0.00707   0.00195  -0.0672   0.7339   0.5785
  -0.750   0.2585   0.00649   0.00196  -0.0652   0.7251   0.7578
  -0.500   0.2860   0.00620   0.00202  -0.0644   0.7169   0.9032
  -0.250   0.3412   0.00624   0.00200  -0.0700   0.7078   0.9622
   0.000   0.4021   0.00633   0.00199  -0.0769   0.6980   0.9897
   0.250   0.4549   0.00636   0.00192  -0.0823   0.6881   1.0000
   0.500   0.4787   0.00641   0.00188  -0.0815   0.6780   1.0000
   0.750   0.5027   0.00646   0.00185  -0.0808   0.6675   1.0000
   1.000   0.5269   0.00651   0.00184  -0.0801   0.6569   1.0000
   1.250   0.5512   0.00658   0.00184  -0.0793   0.6465   1.0000
   1.500   0.5755   0.00666   0.00185  -0.0786   0.6361   1.0000
   1.750   0.5998   0.00675   0.00188  -0.0779   0.6258   1.0000
   2.000   0.6242   0.00684   0.00191  -0.0772   0.6148   1.0000
   2.250   0.6487   0.00693   0.00196  -0.0766   0.6038   1.0000
   2.500   0.6732   0.00704   0.00203  -0.0759   0.5922   1.0000
   2.750   0.6975   0.00715   0.00209  -0.0752   0.5801   1.0000
   3.000   0.7218   0.00727   0.00216  -0.0745   0.5679   1.0000
   3.250   0.7462   0.00740   0.00225  -0.0738   0.5560   1.0000
   3.500   0.7704   0.00755   0.00235  -0.0731   0.5443   1.0000
   3.750   0.7946   0.00770   0.00246  -0.0724   0.5322   1.0000
   4.000   0.8188   0.00786   0.00258  -0.0717   0.5199   1.0000
   4.750   0.8906   0.00837   0.00301  -0.0695   0.4796   1.0000
   5.000   0.9144   0.00856   0.00317  -0.0688   0.4658   1.0000
   5.250   0.9380   0.00876   0.00335  -0.0680   0.4515   1.0000
   5.500   0.9615   0.00897   0.00354  -0.0673   0.4371   1.0000
   5.750   0.9849   0.00919   0.00374  -0.0665   0.4220   1.0000
   6.000   1.0079   0.00944   0.00396  -0.0657   0.4054   1.0000
