  
       XFOIL         Version 6.99
  
 Calculated polar for: S8035 for RC aerobatic  14% thick               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2020   0.00754   0.00227  -0.0060   0.8004   0.5287
  -1.750  -0.1769   0.00748   0.00221  -0.0052   0.7842   0.5470
  -1.500  -0.1516   0.00743   0.00216  -0.0045   0.7687   0.5646
  -1.250  -0.1262   0.00739   0.00211  -0.0038   0.7530   0.5828
  -1.000  -0.1010   0.00735   0.00208  -0.0030   0.7375   0.6002
  -0.750  -0.0757   0.00731   0.00206  -0.0023   0.7216   0.6180
  -0.500  -0.0505   0.00729   0.00204  -0.0015   0.7059   0.6361
  -0.250  -0.0253   0.00728   0.00203  -0.0008   0.6894   0.6544
   0.000   0.0000   0.00728   0.00203  -0.0000   0.6724   0.6723
   0.250   0.0252   0.00728   0.00203   0.0008   0.6543   0.6894
   0.500   0.0505   0.00729   0.00204   0.0015   0.6361   0.7058
   0.750   0.0757   0.00731   0.00206   0.0023   0.6178   0.7217
   1.000   0.1010   0.00735   0.00208   0.0030   0.6001   0.7374
   1.250   0.1262   0.00739   0.00211   0.0038   0.5827   0.7530
   1.500   0.1516   0.00743   0.00216   0.0045   0.5647   0.7686
   1.750   0.1769   0.00748   0.00221   0.0052   0.5470   0.7843
   2.000   0.2020   0.00754   0.00227   0.0060   0.5287   0.8004
   2.250   0.2267   0.00762   0.00233   0.0069   0.5089   0.8166
   2.500   0.2518   0.00770   0.00240   0.0077   0.4891   0.8322
   2.750   0.2771   0.00778   0.00248   0.0084   0.4700   0.8471
   3.000   0.3025   0.00788   0.00257   0.0091   0.4516   0.8621
   3.500   0.3555   0.00811   0.00278   0.0100   0.4151   0.8925
   3.750   0.3846   0.00826   0.00292   0.0099   0.3955   0.9077
   4.000   0.4167   0.00846   0.00309   0.0091   0.3759   0.9217
   4.250   0.4509   0.00870   0.00328   0.0079   0.3564   0.9337
   4.500   0.4861   0.00896   0.00349   0.0064   0.3356   0.9433
   4.750   0.5229   0.00928   0.00371   0.0045   0.3135   0.9497
   5.000   0.5565   0.00956   0.00393   0.0033   0.2929   0.9576
   5.500   0.6267   0.01021   0.00442   0.0001   0.2544   0.9688
   5.750   0.6618   0.01051   0.00468  -0.0015   0.2368   0.9742
   6.000   0.6978   0.01083   0.00493  -0.0033   0.2182   0.9793
