  
       XFOIL         Version 6.99
  
 Calculated polar for: S8038 (13%)                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0904   0.00706   0.00222  -0.0259   0.7921   0.6458
  -1.750  -0.0644   0.00707   0.00219  -0.0253   0.7790   0.6580
  -1.500  -0.0384   0.00709   0.00217  -0.0247   0.7666   0.6703
  -1.250  -0.0121   0.00711   0.00215  -0.0242   0.7545   0.6809
  -1.000   0.0141   0.00715   0.00213  -0.0237   0.7422   0.6912
  -0.750   0.0403   0.00715   0.00212  -0.0231   0.7297   0.7004
  -0.500   0.0664   0.00717   0.00211  -0.0226   0.7171   0.7102
  -0.250   0.0926   0.00720   0.00210  -0.0220   0.7052   0.7204
   0.000   0.1188   0.00722   0.00211  -0.0215   0.6936   0.7293
   0.250   0.1450   0.00726   0.00210  -0.0210   0.6820   0.7384
   0.500   0.1711   0.00727   0.00212  -0.0205   0.6694   0.7475
   0.750   0.1970   0.00729   0.00213  -0.0199   0.6559   0.7568
   1.250   0.2485   0.00735   0.00215  -0.0187   0.6277   0.7756
   1.500   0.2743   0.00738   0.00217  -0.0181   0.6138   0.7851
   1.750   0.3000   0.00742   0.00220  -0.0175   0.6002   0.7955
   2.000   0.3255   0.00745   0.00224  -0.0169   0.5861   0.8056
   2.250   0.3509   0.00749   0.00228  -0.0162   0.5716   0.8165
   2.500   0.3762   0.00754   0.00233  -0.0156   0.5564   0.8281
   2.750   0.4012   0.00759   0.00238  -0.0148   0.5397   0.8401
   3.000   0.4259   0.00766   0.00244  -0.0140   0.5214   0.8527
   3.250   0.4504   0.00773   0.00251  -0.0132   0.5002   0.8667
   3.500   0.4751   0.00782   0.00259  -0.0124   0.4792   0.8823
   3.750   0.5004   0.00794   0.00269  -0.0118   0.4563   0.8998
   4.000   0.5286   0.00811   0.00283  -0.0118   0.4294   0.9180
   4.250   0.5624   0.00836   0.00301  -0.0131   0.3995   0.9345
   4.500   0.5996   0.00868   0.00323  -0.0153   0.3656   0.9476
   4.750   0.6365   0.00908   0.00348  -0.0174   0.3284   0.9590
   5.000   0.6740   0.00955   0.00375  -0.0198   0.2869   0.9669
   5.250   0.7081   0.01001   0.00406  -0.0215   0.2502   0.9769
   5.500   0.7421   0.01048   0.00437  -0.0231   0.2183   0.9861
   5.750   0.7781   0.01095   0.00469  -0.0253   0.1905   0.9930
