  
       XFOIL         Version 6.99
  
 Calculated polar for: S8052 (11.88%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0564   0.00716   0.00251  -0.0303   0.7726   0.6785
  -1.750  -0.0288   0.00714   0.00249  -0.0301   0.7670   0.6979
  -1.500  -0.0011   0.00715   0.00246  -0.0299   0.7622   0.7145
  -1.250   0.0267   0.00715   0.00246  -0.0297   0.7569   0.7290
  -1.000   0.0544   0.00713   0.00244  -0.0295   0.7510   0.7415
  -0.750   0.0821   0.00715   0.00241  -0.0292   0.7456   0.7529
  -0.500   0.1099   0.00712   0.00240  -0.0290   0.7387   0.7641
  -0.250   0.1376   0.00713   0.00236  -0.0288   0.7324   0.7750
   0.000   0.1652   0.00710   0.00236  -0.0285   0.7249   0.7849
   0.250   0.1928   0.00709   0.00233  -0.0283   0.7181   0.7942
   0.500   0.2205   0.00707   0.00232  -0.0281   0.7100   0.8038
   0.750   0.2480   0.00707   0.00229  -0.0278   0.7028   0.8129
   1.000   0.2755   0.00703   0.00229  -0.0276   0.6941   0.8218
   1.250   0.3030   0.00702   0.00227  -0.0273   0.6853   0.8317
   1.500   0.3300   0.00700   0.00226  -0.0269   0.6754   0.8410
   1.750   0.3572   0.00697   0.00227  -0.0266   0.6650   0.8507
   2.000   0.3843   0.00696   0.00228  -0.0263   0.6546   0.8613
   2.250   0.4110   0.00695   0.00228  -0.0259   0.6428   0.8716
   2.500   0.4376   0.00694   0.00229  -0.0255   0.6291   0.8814
   2.750   0.4641   0.00694   0.00230  -0.0251   0.6139   0.8918
   3.000   0.4901   0.00697   0.00232  -0.0245   0.5950   0.9034
   3.250   0.5154   0.00703   0.00235  -0.0239   0.5729   0.9162
   3.750   0.5682   0.00730   0.00250  -0.0230   0.5210   0.9452
   4.000   0.5994   0.00754   0.00263  -0.0238   0.4858   0.9590
   4.250   0.6333   0.00788   0.00281  -0.0253   0.4436   0.9713
   4.500   0.6685   0.00827   0.00301  -0.0272   0.4000   0.9822
   4.750   0.7052   0.00867   0.00324  -0.0295   0.3595   0.9913
   5.250   0.7618   0.00946   0.00371  -0.0308   0.2913   1.0000
   5.500   0.7817   0.00983   0.00395  -0.0295   0.2663   1.0000
   5.750   0.8028   0.01020   0.00421  -0.0285   0.2428   1.0000
   6.000   0.8248   0.01057   0.00448  -0.0276   0.2227   1.0000
