  
       XFOIL         Version 6.99
  
 Calculated polar for: S9033 (7.5%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2561   0.00665   0.00151   0.0051   1.0000   0.4003
  -1.750  -0.2318   0.00640   0.00145   0.0058   1.0000   0.4514
  -1.500  -0.2078   0.00614   0.00142   0.0066   1.0000   0.5091
  -1.000  -0.1447   0.00565   0.00143   0.0051   0.9928   0.6327
  -0.750  -0.1033   0.00541   0.00143   0.0023   0.9816   0.6926
  -0.500  -0.0670   0.00515   0.00142   0.0009   0.9631   0.7539
  -0.250  -0.0308   0.00490   0.00142  -0.0004   0.9348   0.8206
   0.000  -0.0000   0.00477   0.00141   0.0000   0.8873   0.8873
   0.250   0.0307   0.00490   0.00141   0.0004   0.8203   0.9349
   0.500   0.0669   0.00515   0.00142  -0.0009   0.7537   0.9631
   0.750   0.1033   0.00541   0.00143  -0.0023   0.6929   0.9816
   1.000   0.1447   0.00565   0.00143  -0.0051   0.6325   0.9928
   1.250   0.1842   0.00590   0.00142  -0.0075   0.5672   1.0000
   1.500   0.2079   0.00614   0.00142  -0.0066   0.5090   1.0000
   1.750   0.2318   0.00640   0.00145  -0.0058   0.4510   1.0000
   2.000   0.2561   0.00665   0.00151  -0.0051   0.4003   1.0000
   2.250   0.2807   0.00691   0.00158  -0.0044   0.3557   1.0000
   2.500   0.3056   0.00715   0.00167  -0.0037   0.3168   1.0000
   2.750   0.3305   0.00739   0.00179  -0.0031   0.2810   1.0000
   3.000   0.3555   0.00765   0.00191  -0.0025   0.2482   1.0000
   3.250   0.3806   0.00792   0.00206  -0.0018   0.2173   1.0000
   3.500   0.4057   0.00820   0.00222  -0.0012   0.1886   1.0000
   3.750   0.4308   0.00848   0.00241  -0.0006   0.1633   1.0000
   4.000   0.4560   0.00879   0.00260  -0.0001   0.1380   1.0000
   4.250   0.4813   0.00910   0.00281   0.0005   0.1159   1.0000
   4.500   0.5067   0.00942   0.00306   0.0010   0.0996   1.0000
   4.750   0.5322   0.00974   0.00335   0.0016   0.0868   1.0000
   5.000   0.5577   0.01009   0.00365   0.0021   0.0756   1.0000
   5.250   0.5834   0.01038   0.00393   0.0026   0.0666   1.0000
   5.500   0.6091   0.01071   0.00426   0.0031   0.0580   1.0000
   5.750   0.6344   0.01115   0.00470   0.0036   0.0494   1.0000
   6.000   0.6590   0.01179   0.00532   0.0042   0.0409   1.0000
