  
       XFOIL         Version 6.99
  
 Calculated polar for: SA7038                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1826   0.00835   0.00227  -0.0857   0.8670   0.0759
  -1.750   0.2084   0.00775   0.00208  -0.0855   0.8561   0.2001
  -1.500   0.2346   0.00728   0.00196  -0.0853   0.8452   0.3206
  -1.250   0.2603   0.00678   0.00189  -0.0850   0.8339   0.4671
  -1.000   0.2859   0.00640   0.00185  -0.0845   0.8222   0.5932
  -0.750   0.3104   0.00605   0.00184  -0.0836   0.8098   0.7129
  -0.500   0.3301   0.00568   0.00186  -0.0812   0.7965   0.8532
  -0.250   0.3588   0.00551   0.00179  -0.0806   0.7826   0.9614
   0.000   0.4007   0.00550   0.00166  -0.0835   0.7670   1.0000
   0.250   0.4266   0.00558   0.00161  -0.0830   0.7498   1.0000
   0.500   0.4527   0.00567   0.00158  -0.0825   0.7323   1.0000
   0.750   0.4790   0.00578   0.00156  -0.0820   0.7138   1.0000
   1.000   0.5052   0.00590   0.00156  -0.0816   0.6954   1.0000
   1.250   0.5316   0.00602   0.00158  -0.0812   0.6768   1.0000
   1.500   0.5580   0.00616   0.00161  -0.0809   0.6578   1.0000
   1.750   0.5843   0.00631   0.00166  -0.0805   0.6389   1.0000
   2.000   0.6107   0.00646   0.00171  -0.0801   0.6192   1.0000
   2.250   0.6368   0.00663   0.00177  -0.0798   0.5992   1.0000
   2.500   0.6631   0.00680   0.00185  -0.0794   0.5786   1.0000
   2.750   0.6892   0.00699   0.00195  -0.0791   0.5581   1.0000
   3.000   0.7153   0.00718   0.00205  -0.0787   0.5374   1.0000
   3.250   0.7414   0.00738   0.00216  -0.0784   0.5174   1.0000
   3.500   0.7674   0.00758   0.00230  -0.0780   0.4972   1.0000
   3.750   0.7932   0.00781   0.00244  -0.0777   0.4766   1.0000
   4.000   0.8190   0.00804   0.00259  -0.0773   0.4554   1.0000
   4.250   0.8446   0.00829   0.00275  -0.0769   0.4330   1.0000
   4.500   0.8700   0.00855   0.00295  -0.0765   0.4118   1.0000
   4.750   0.8955   0.00881   0.00314  -0.0762   0.3904   1.0000
   5.000   0.9207   0.00909   0.00334  -0.0758   0.3705   1.0000
   5.250   0.9461   0.00937   0.00356  -0.0754   0.3506   1.0000
   5.500   0.9710   0.00968   0.00382  -0.0750   0.3298   1.0000
   5.750   0.9960   0.00999   0.00407  -0.0745   0.3101   1.0000
   6.000   1.0205   0.01033   0.00435  -0.0741   0.2911   1.0000
