  
       XFOIL         Version 6.99
  
 Calculated polar for: SIKORSKY SC1012R8 AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0260   0.01080   0.00412  -0.0305   0.7674   0.0385
  -1.750   0.0536   0.01059   0.00386  -0.0301   0.7435   0.0405
  -1.500   0.0812   0.01042   0.00358  -0.0297   0.7162   0.0430
  -1.250   0.1088   0.01027   0.00335  -0.0293   0.6839   0.0459
  -1.000   0.1365   0.01016   0.00311  -0.0290   0.6467   0.0496
  -0.750   0.1641   0.01012   0.00293  -0.0287   0.6035   0.0561
  -0.500   0.1916   0.01008   0.00278  -0.0285   0.5573   0.0722
  -0.250   0.2190   0.00998   0.00270  -0.0283   0.5113   0.1225
   0.000   0.2452   0.00941   0.00260  -0.0285   0.4694   0.3183
   0.250   0.2665   0.00815   0.00265  -0.0277   0.4352   0.7425
   0.500   0.2897   0.00814   0.00279  -0.0261   0.4048   0.8322
   0.750   0.3126   0.00827   0.00291  -0.0245   0.3799   0.8804
   1.000   0.3338   0.00843   0.00303  -0.0224   0.3582   0.9151
   1.250   0.3533   0.00861   0.00313  -0.0199   0.3388   0.9445
   1.500   0.3760   0.00876   0.00317  -0.0182   0.3198   0.9685
   1.750   0.4126   0.00897   0.00323  -0.0197   0.2986   0.9825
   2.000   0.4619   0.00925   0.00336  -0.0239   0.2741   0.9904
   2.250   0.5098   0.00957   0.00347  -0.0280   0.2470   0.9961
   2.500   0.5502   0.00983   0.00357  -0.0306   0.2224   0.9997
   2.750   0.5739   0.01004   0.00364  -0.0300   0.2061   1.0000
   3.000   0.5958   0.01024   0.00374  -0.0289   0.1941   1.0000
   3.250   0.6177   0.01046   0.00386  -0.0278   0.1841   1.0000
   3.500   0.6402   0.01066   0.00399  -0.0267   0.1761   1.0000
   3.750   0.6630   0.01090   0.00415  -0.0257   0.1689   1.0000
   4.000   0.6870   0.01111   0.00431  -0.0249   0.1626   1.0000
   4.250   0.7115   0.01143   0.00453  -0.0243   0.1562   1.0000
   4.500   0.7379   0.01161   0.00470  -0.0240   0.1515   1.0000
   4.750   0.7640   0.01190   0.00492  -0.0237   0.1465   1.0000
   5.000   0.7901   0.01223   0.00519  -0.0234   0.1421   1.0000
   5.250   0.8173   0.01244   0.00540  -0.0232   0.1385   1.0000
   5.500   0.8440   0.01272   0.00564  -0.0230   0.1348   1.0000
   5.750   0.8693   0.01319   0.00602  -0.0227   0.1306   1.0000
   6.000   0.8966   0.01339   0.00624  -0.0226   0.1283   1.0000
