  
       XFOIL         Version 6.99
  
 Calculated polar for: SIKORSKY SC1094 R8 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0213   0.01020   0.00388  -0.0269   0.8790   0.0340
  -1.750   0.0044   0.00990   0.00357  -0.0261   0.8597   0.0359
  -1.500   0.0311   0.00972   0.00332  -0.0254   0.8394   0.0384
  -1.250   0.0576   0.00940   0.00297  -0.0247   0.8166   0.0416
  -1.000   0.0848   0.00925   0.00274  -0.0242   0.7909   0.0451
  -0.750   0.1120   0.00908   0.00249  -0.0237   0.7616   0.0517
  -0.500   0.1392   0.00888   0.00226  -0.0232   0.7244   0.0705
  -0.250   0.1657   0.00831   0.00208  -0.0231   0.6791   0.2290
   0.000   0.1861   0.00663   0.00204  -0.0222   0.6309   0.7625
   0.250   0.2059   0.00659   0.00212  -0.0197   0.5782   0.8710
   0.500   0.2247   0.00679   0.00219  -0.0170   0.5244   0.9276
   0.750   0.2464   0.00703   0.00221  -0.0151   0.4720   0.9646
   1.000   0.2887   0.00733   0.00223  -0.0178   0.4182   0.9887
   1.250   0.3410   0.00768   0.00230  -0.0230   0.3695   1.0000
   1.500   0.3653   0.00788   0.00232  -0.0223   0.3384   1.0000
   1.750   0.3897   0.00809   0.00235  -0.0216   0.3096   1.0000
   2.000   0.4143   0.00829   0.00240  -0.0210   0.2826   1.0000
   2.250   0.4394   0.00852   0.00247  -0.0205   0.2555   1.0000
   2.500   0.4652   0.00878   0.00256  -0.0201   0.2281   1.0000
   2.750   0.4915   0.00906   0.00267  -0.0198   0.2042   1.0000
   3.000   0.5182   0.00935   0.00282  -0.0196   0.1861   1.0000
   3.250   0.5453   0.00961   0.00297  -0.0194   0.1727   1.0000
   3.500   0.5727   0.00985   0.00314  -0.0193   0.1626   1.0000
   3.750   0.6000   0.01011   0.00333  -0.0192   0.1540   1.0000
   4.000   0.6274   0.01037   0.00352  -0.0191   0.1465   1.0000
   4.250   0.6548   0.01064   0.00375  -0.0189   0.1403   1.0000
   4.500   0.6823   0.01088   0.00394  -0.0189   0.1348   1.0000
   4.750   0.7092   0.01125   0.00424  -0.0187   0.1290   1.0000
   5.000   0.7370   0.01144   0.00444  -0.0186   0.1253   1.0000
   5.250   0.7643   0.01170   0.00467  -0.0185   0.1215   1.0000
   5.500   0.7908   0.01211   0.00501  -0.0184   0.1174   1.0000
   5.750   0.8179   0.01242   0.00533  -0.0182   0.1149   1.0000
   6.000   0.8451   0.01268   0.00560  -0.0181   0.1125   1.0000
