  
       XFOIL         Version 6.99
  
 Calculated polar for: SIKORSKY SC1095 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1114   0.00756   0.00224  -0.0224   0.9484   0.3490
  -1.750  -0.0876   0.00706   0.00213  -0.0216   0.9368   0.4525
  -1.500  -0.0639   0.00656   0.00205  -0.0206   0.9247   0.5677
  -1.250  -0.0401   0.00618   0.00201  -0.0194   0.9121   0.6637
  -1.000  -0.0166   0.00595   0.00198  -0.0179   0.8966   0.7303
  -0.750   0.0068   0.00581   0.00195  -0.0164   0.8771   0.7792
  -0.500   0.0310   0.00573   0.00193  -0.0150   0.8558   0.8175
  -0.250   0.0554   0.00570   0.00191  -0.0137   0.8361   0.8501
   0.000   0.0796   0.00570   0.00192  -0.0123   0.8134   0.8790
   0.250   0.1031   0.00573   0.00192  -0.0108   0.7887   0.9024
   0.500   0.1272   0.00580   0.00191  -0.0094   0.7605   0.9219
   0.750   0.1507   0.00589   0.00190  -0.0079   0.7267   0.9398
   1.000   0.1740   0.00602   0.00188  -0.0064   0.6858   0.9616
   1.250   0.2060   0.00621   0.00186  -0.0069   0.6325   0.9773
   1.500   0.2468   0.00654   0.00190  -0.0095   0.5628   0.9888
   1.750   0.2913   0.00696   0.00199  -0.0131   0.4878   0.9959
   2.000   0.3293   0.00730   0.00207  -0.0154   0.4288   1.0000
   2.250   0.3536   0.00753   0.00211  -0.0149   0.3886   1.0000
   2.500   0.3778   0.00775   0.00217  -0.0143   0.3534   1.0000
   3.000   0.4265   0.00822   0.00235  -0.0132   0.2904   1.0000
   3.250   0.4514   0.00846   0.00246  -0.0127   0.2608   1.0000
   3.500   0.4770   0.00874   0.00259  -0.0123   0.2297   1.0000
   3.750   0.5031   0.00904   0.00275  -0.0121   0.2010   1.0000
   4.000   0.5295   0.00936   0.00294  -0.0119   0.1791   1.0000
   4.250   0.5564   0.00965   0.00316  -0.0118   0.1630   1.0000
   4.500   0.5834   0.00996   0.00339  -0.0117   0.1504   1.0000
   4.750   0.6104   0.01026   0.00363  -0.0116   0.1401   1.0000
   5.000   0.6378   0.01051   0.00388  -0.0116   0.1321   1.0000
   5.250   0.6646   0.01088   0.00419  -0.0115   0.1245   1.0000
   5.500   0.6921   0.01112   0.00445  -0.0114   0.1189   1.0000
   5.750   0.7186   0.01155   0.00483  -0.0113   0.1125   1.0000
   6.000   0.7461   0.01178   0.00510  -0.0112   0.1086   1.0000
