  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0406 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0785   0.00562   0.00144  -0.0376   1.0000   0.6949
  -1.750  -0.0519   0.00557   0.00145  -0.0372   1.0000   0.7220
  -1.500  -0.0255   0.00554   0.00150  -0.0368   1.0000   0.7484
  -1.250   0.0009   0.00554   0.00154  -0.0365   1.0000   0.7679
  -1.000   0.0271   0.00553   0.00160  -0.0360   1.0000   0.7848
  -0.750   0.0531   0.00554   0.00168  -0.0356   1.0000   0.8034
  -0.500   0.0789   0.00556   0.00178  -0.0351   1.0000   0.8212
  -0.250   0.1044   0.00559   0.00189  -0.0345   1.0000   0.8377
   0.000   0.1348   0.00558   0.00196  -0.0351   0.9977   0.8500
   0.250   0.1809   0.00545   0.00189  -0.0390   0.9867   0.8593
   0.500   0.2236   0.00534   0.00183  -0.0419   0.9608   0.8676
   0.750   0.2528   0.00534   0.00184  -0.0417   0.9210   0.8769
   1.000   0.2756   0.00542   0.00187  -0.0399   0.8728   0.8873
   1.250   0.2976   0.00562   0.00188  -0.0381   0.8031   0.8981
   1.500   0.3182   0.00624   0.00189  -0.0361   0.6390   0.9095
   1.750   0.3379   0.00772   0.00209  -0.0350   0.3140   0.9215
   2.000   0.3595   0.00854   0.00228  -0.0341   0.1445   0.9357
   2.250   0.3804   0.00887   0.00241  -0.0326   0.0860   0.9554
   2.500   0.4069   0.00906   0.00252  -0.0323   0.0608   1.0000
   2.750   0.4373   0.00937   0.00279  -0.0330   0.0452   1.0000
   3.000   0.4670   0.00993   0.00325  -0.0335   0.0230   1.0000
   3.250   0.4958   0.01074   0.00415  -0.0337   0.0188   1.0000
   3.500   0.5243   0.01144   0.00492  -0.0338   0.0180   1.0000
   3.750   0.5522   0.01235   0.00592  -0.0338   0.0176   1.0000
   4.000   0.5796   0.01347   0.00715  -0.0337   0.0174   1.0000
   4.250   0.6072   0.01440   0.00817  -0.0336   0.0166   1.0000
   4.500   0.6346   0.01561   0.00954  -0.0334   0.0161   1.0000
   4.750   0.6617   0.01731   0.01145  -0.0331   0.0158   1.0000
   5.000   0.6882   0.01971   0.01419  -0.0325   0.0158   1.0000
   5.250   0.7119   0.02459   0.01972  -0.0313   0.0172   1.0000
