  
       XFOIL         Version 6.99
  
 Calculated polar for: SD2083 (9.0%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1002   0.00900   0.00249  -0.0672   0.8493   0.0517
  -1.750   0.1252   0.00840   0.00228  -0.0667   0.8439   0.1661
  -1.500   0.1497   0.00782   0.00216  -0.0664   0.8381   0.3102
  -1.250   0.1740   0.00730   0.00207  -0.0658   0.8318   0.4529
  -1.000   0.1968   0.00676   0.00203  -0.0649   0.8257   0.6116
  -0.750   0.2176   0.00624   0.00202  -0.0631   0.8188   0.7642
  -0.250   0.3225   0.00584   0.00199  -0.0726   0.8073   0.9919
   0.000   0.3655   0.00581   0.00187  -0.0759   0.8004   1.0000
   0.250   0.3899   0.00581   0.00181  -0.0752   0.7917   1.0000
   0.500   0.4144   0.00581   0.00176  -0.0744   0.7826   1.0000
   0.750   0.4391   0.00583   0.00171  -0.0737   0.7736   1.0000
   1.000   0.4640   0.00586   0.00168  -0.0730   0.7643   1.0000
   1.250   0.4891   0.00588   0.00167  -0.0724   0.7544   1.0000
   1.500   0.5143   0.00592   0.00168  -0.0718   0.7447   1.0000
   1.750   0.5395   0.00597   0.00168  -0.0712   0.7346   1.0000
   2.000   0.5647   0.00603   0.00169  -0.0706   0.7240   1.0000
   2.250   0.5900   0.00609   0.00172  -0.0700   0.7119   1.0000
   2.500   0.6151   0.00616   0.00177  -0.0694   0.6985   1.0000
   2.750   0.6402   0.00624   0.00181  -0.0688   0.6838   1.0000
   3.000   0.6652   0.00634   0.00187  -0.0682   0.6671   1.0000
   3.250   0.6899   0.00646   0.00194  -0.0675   0.6482   1.0000
   3.500   0.7144   0.00660   0.00204  -0.0667   0.6265   1.0000
   3.750   0.7384   0.00678   0.00214  -0.0660   0.6009   1.0000
   4.000   0.7620   0.00700   0.00227  -0.0651   0.5710   1.0000
   4.250   0.7851   0.00727   0.00242  -0.0642   0.5370   1.0000
   4.500   0.8075   0.00761   0.00263  -0.0632   0.4976   1.0000
   4.750   0.8290   0.00803   0.00286  -0.0621   0.4518   1.0000
   5.000   0.8504   0.00849   0.00313  -0.0610   0.4072   1.0000
   5.250   0.8709   0.00903   0.00344  -0.0598   0.3570   1.0000
   5.500   0.8906   0.00965   0.00380  -0.0586   0.3010   1.0000
   5.750   0.9106   0.01028   0.00418  -0.0575   0.2507   1.0000
   6.000   0.9325   0.01074   0.00452  -0.0566   0.2196   1.0000
