  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7003-085-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0301   0.00657   0.00179  -0.0417   0.9448   0.4168
  -1.500   0.0304   0.00589   0.00158  -0.0422   0.8990   0.5832
  -1.250   0.0564   0.00572   0.00154  -0.0414   0.8702   0.6491
  -1.000   0.0815   0.00563   0.00151  -0.0404   0.8404   0.7066
  -0.750   0.1060   0.00559   0.00150  -0.0392   0.8108   0.7575
  -0.500   0.1305   0.00558   0.00150  -0.0380   0.7816   0.7998
  -0.250   0.1546   0.00560   0.00150  -0.0367   0.7531   0.8379
   0.000   0.1782   0.00563   0.00151  -0.0353   0.7251   0.8721
   0.250   0.2015   0.00567   0.00151  -0.0339   0.6978   0.9053
   0.500   0.2259   0.00571   0.00149  -0.0326   0.6705   0.9378
   0.750   0.2586   0.00580   0.00146  -0.0333   0.6414   0.9676
   1.250   0.3290   0.00605   0.00144  -0.0363   0.5821   1.0000
   1.500   0.3548   0.00621   0.00146  -0.0358   0.5544   1.0000
   1.750   0.3810   0.00638   0.00150  -0.0355   0.5272   1.0000
   2.250   0.4342   0.00674   0.00163  -0.0348   0.4739   1.0000
   2.500   0.4609   0.00693   0.00171  -0.0346   0.4477   1.0000
   2.750   0.4877   0.00713   0.00180  -0.0343   0.4221   1.0000
   3.000   0.5146   0.00734   0.00190  -0.0341   0.3971   1.0000
   3.250   0.5414   0.00756   0.00202  -0.0339   0.3729   1.0000
   3.500   0.5682   0.00778   0.00216  -0.0336   0.3490   1.0000
   3.750   0.5951   0.00802   0.00230  -0.0334   0.3251   1.0000
   4.000   0.6219   0.00826   0.00246  -0.0332   0.3028   1.0000
   4.250   0.6485   0.00853   0.00264  -0.0330   0.2800   1.0000
   4.500   0.6753   0.00878   0.00283  -0.0328   0.2593   1.0000
   5.000   0.7284   0.00936   0.00325  -0.0323   0.2185   1.0000
   5.250   0.7548   0.00967   0.00350  -0.0321   0.2001   1.0000
   5.500   0.7811   0.00999   0.00376  -0.0318   0.1838   1.0000
   5.750   0.8075   0.01030   0.00403  -0.0316   0.1679   1.0000
   6.000   0.8337   0.01063   0.00433  -0.0313   0.1527   1.0000
