  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7034                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1871   0.00891   0.00238  -0.0794   0.7295   0.1140
  -1.750   0.2152   0.00869   0.00226  -0.0794   0.7207   0.1437
  -1.500   0.2429   0.00844   0.00213  -0.0794   0.7128   0.1975
  -1.250   0.2705   0.00807   0.00207  -0.0795   0.7036   0.2924
  -1.000   0.2978   0.00774   0.00202  -0.0794   0.6950   0.3983
  -0.750   0.3249   0.00744   0.00199  -0.0793   0.6861   0.5042
  -0.500   0.3516   0.00715   0.00200  -0.0790   0.6768   0.6092
  -0.250   0.3773   0.00690   0.00201  -0.0784   0.6681   0.7099
   0.000   0.4002   0.00659   0.00203  -0.0769   0.6586   0.8285
   0.250   0.4353   0.00634   0.00197  -0.0778   0.6489   0.9799
   0.500   0.4667   0.00641   0.00193  -0.0785   0.6393   1.0000
   0.750   0.4946   0.00648   0.00192  -0.0784   0.6288   1.0000
   1.000   0.5225   0.00656   0.00192  -0.0783   0.6184   1.0000
   1.250   0.5502   0.00666   0.00193  -0.0782   0.6081   1.0000
   1.750   0.6058   0.00685   0.00198  -0.0779   0.5860   1.0000
   2.000   0.6335   0.00696   0.00203  -0.0779   0.5747   1.0000
   2.250   0.6612   0.00708   0.00208  -0.0778   0.5635   1.0000
   2.500   0.6887   0.00721   0.00214  -0.0776   0.5520   1.0000
   2.750   0.7162   0.00735   0.00221  -0.0775   0.5399   1.0000
   3.000   0.7438   0.00747   0.00229  -0.0774   0.5275   1.0000
   3.250   0.7712   0.00762   0.00238  -0.0773   0.5149   1.0000
   3.500   0.7985   0.00777   0.00249  -0.0772   0.5019   1.0000
   3.750   0.8257   0.00794   0.00260  -0.0770   0.4889   1.0000
   4.000   0.8527   0.00811   0.00273  -0.0769   0.4753   1.0000
   4.250   0.8796   0.00830   0.00287  -0.0767   0.4616   1.0000
   4.500   0.9064   0.00850   0.00302  -0.0766   0.4476   1.0000
   4.750   0.9330   0.00871   0.00318  -0.0764   0.4332   1.0000
   5.000   0.9595   0.00893   0.00336  -0.0762   0.4187   1.0000
   5.250   0.9857   0.00917   0.00355  -0.0760   0.4039   1.0000
   5.500   1.0119   0.00942   0.00375  -0.0757   0.3891   1.0000
   5.750   1.0378   0.00968   0.00397  -0.0755   0.3742   1.0000
   6.000   1.0635   0.00995   0.00420  -0.0752   0.3590   1.0000
